ship_week,arrival_week,origin,destination,product,qty,base_lead_time_weeks,ship_week_start
6,9,Factory2,DC_C,Product4,55,3,2025-02-17
6,9,Factory1,DC_C,Product5,142,3,2025-02-17
6,7,Factory1,DC_E,Product1,49,1,2025-02-17
6,8,Factory1,DC_E,Product2,55,2,2025-02-17
6,7,Factory1,DC_E,Product3,68,1,2025-02-17
6,7,Factory2,DC_E,Product4,134,1,2025-02-17
6,8,Factory1,DC_E,Product5,233,2,2025-02-17
7,9,Factory1,DC_W,Product1,170,2,2025-02-24
7,8,Factory1,DC_W,Product2,894,1,2025-02-24
7,9,Factory1,DC_W,Product3,110,2,2025-02-24
7,10,Factory2,DC_W,Product4,152,3,2025-02-24
7,10,Factory1,DC_W,Product5,684,3,2025-02-24
7,9,Factory1,DC_C,Product1,117,2,2025-02-24
7,8,Factory1,DC_C,Product2,161,1,2025-02-24
7,10,Factory1,DC_C,Product3,68,3,2025-02-24
7,10,Factory2,DC_C,Product4,149,3,2025-02-24
7,10,Factory1,DC_C,Product5,225,3,2025-02-24
7,8,Factory1,DC_E,Product1,49,1,2025-02-24
7,9,Factory1,DC_E,Product2,164,2,2025-02-24
7,8,Factory1,DC_E,Product3,109,1,2025-02-24
7,8,Factory2,DC_E,Product4,131,1,2025-02-24
7,9,Factory1,DC_E,Product5,231,2,2025-02-24
8,10,Factory1,DC_W,Product1,203,2,2025-03-03
8,9,Factory1,DC_W,Product2,992,1,2025-03-03
8,10,Factory1,DC_W,Product3,60,2,2025-03-03
8,11,Factory2,DC_W,Product4,228,3,2025-03-03
8,11,Factory1,DC_W,Product5,802,3,2025-03-03
8,10,Factory1,DC_C,Product1,92,2,2025-03-03
8,9,Factory1,DC_C,Product2,75,1,2025-03-03
8,11,Factory1,DC_C,Product3,140,3,2025-03-03
8,11,Factory2,DC_C,Product4,108,3,2025-03-03
8,11,Factory1,DC_C,Product5,271,3,2025-03-03
8,9,Factory1,DC_E,Product1,90,1,2025-03-03
8,10,Factory1,DC_E,Product2,294,2,2025-03-03
8,9,Factory1,DC_E,Product3,107,1,2025-03-03
8,9,Factory2,DC_E,Product4,105,1,2025-03-03
8,10,Factory1,DC_E,Product5,245,2,2025-03-03
9,11,Factory1,DC_W,Product1,104,2,2025-03-10
9,10,Factory1,DC_W,Product2,1018,1,2025-03-10
9,11,Factory1,DC_W,Product3,157,2,2025-03-10
9,12,Factory2,DC_W,Product4,162,3,2025-03-10
9,12,Factory1,DC_W,Product5,916,3,2025-03-10
9,11,Factory1,DC_C,Product1,33,2,2025-03-10
9,10,Factory1,DC_C,Product2,83,1,2025-03-10
9,12,Factory1,DC_C,Product3,143,3,2025-03-10
9,12,Factory2,DC_C,Product4,69,3,2025-03-10
9,12,Factory1,DC_C,Product5,323,3,2025-03-10
9,10,Factory1,DC_E,Product1,159,1,2025-03-10
9,11,Factory1,DC_E,Product2,225,2,2025-03-10
9,10,Factory1,DC_E,Product3,131,1,2025-03-10
9,10,Factory2,DC_E,Product4,73,1,2025-03-10
9,11,Factory1,DC_E,Product5,98,2,2025-03-10
10,12,Factory1,DC_W,Product1,112,2,2025-03-17
10,11,Factory1,DC_W,Product2,1246,1,2025-03-17
10,12,Factory1,DC_W,Product3,282,2,2025-03-17
10,13,Factory2,DC_W,Product4,241,3,2025-03-17
10,13,Factory1,DC_W,Product5,1021,3,2025-03-17
10,12,Factory1,DC_C,Product1,170,2,2025-03-17
10,11,Factory1,DC_C,Product2,137,1,2025-03-17
10,13,Factory1,DC_C,Product3,247,3,2025-03-17
10,13,Factory2,DC_C,Product4,123,3,2025-03-17
10,13,Factory1,DC_C,Product5,190,3,2025-03-17
10,11,Factory1,DC_E,Product1,62,1,2025-03-17
10,12,Factory1,DC_E,Product2,124,2,2025-03-17
10,11,Factory1,DC_E,Product3,159,1,2025-03-17
10,11,Factory2,DC_E,Product4,58,1,2025-03-17
10,12,Factory1,DC_E,Product5,146,2,2025-03-17
11,13,Factory1,DC_W,Product1,195,2,2025-03-24
11,12,Factory1,DC_W,Product2,1246,1,2025-03-24
11,13,Factory1,DC_W,Product3,392,2,2025-03-24
11,14,Factory2,DC_W,Product4,217,3,2025-03-24
11,14,Factory1,DC_W,Product5,1021,3,2025-03-24
11,13,Factory1,DC_C,Product1,158,2,2025-03-24
11,12,Factory1,DC_C,Product2,228,1,2025-03-24
11,14,Factory1,DC_C,Product3,221,3,2025-03-24
11,14,Factory2,DC_C,Product4,116,3,2025-03-24
11,14,Factory1,DC_C,Product5,75,3,2025-03-24
11,12,Factory1,DC_E,Product1,63,1,2025-03-24
11,13,Factory1,DC_E,Product2,176,2,2025-03-24
11,12,Factory1,DC_E,Product3,55,1,2025-03-24
11,12,Factory2,DC_E,Product4,177,1,2025-03-24
11,13,Factory1,DC_E,Product5,160,2,2025-03-24
12,14,Factory1,DC_W,Product1,268,2,2025-03-31
12,13,Factory1,DC_W,Product2,1246,1,2025-03-31
12,14,Factory1,DC_W,Product3,496,2,2025-03-31
12,15,Factory2,DC_W,Product4,151,3,2025-03-31
12,15,Factory1,DC_W,Product5,823,3,2025-03-31
12,14,Factory1,DC_C,Product1,50,2,2025-03-31
12,13,Factory1,DC_C,Product2,293,1,2025-03-31
12,15,Factory1,DC_C,Product3,244,3,2025-03-31
12,15,Factory2,DC_C,Product4,56,3,2025-03-31
12,15,Factory1,DC_C,Product5,167,3,2025-03-31
12,13,Factory1,DC_E,Product1,81,1,2025-03-31
12,14,Factory1,DC_E,Product2,157,2,2025-03-31
12,13,Factory1,DC_E,Product3,71,1,2025-03-31
12,13,Factory2,DC_E,Product4,30,1,2025-03-31
12,14,Factory1,DC_E,Product5,80,2,2025-03-31
13,15,Factory1,DC_W,Product1,116,2,2025-04-07
13,14,Factory1,DC_W,Product2,1246,1,2025-04-07
13,15,Factory1,DC_W,Product3,162,2,2025-04-07
13,16,Factory2,DC_W,Product4,75,3,2025-04-07
13,16,Factory1,DC_W,Product5,885,3,2025-04-07
13,15,Factory1,DC_C,Product1,120,2,2025-04-07
13,14,Factory1,DC_C,Product2,293,1,2025-04-07
13,16,Factory1,DC_C,Product3,77,3,2025-04-07
13,16,Factory2,DC_C,Product4,106,3,2025-04-07
13,16,Factory1,DC_C,Product5,129,3,2025-04-07
13,14,Factory1,DC_E,Product1,110,1,2025-04-07
13,15,Factory1,DC_E,Product2,156,2,2025-04-07
13,14,Factory1,DC_E,Product3,61,1,2025-04-07
13,14,Factory2,DC_E,Product4,24,1,2025-04-07
13,15,Factory1,DC_E,Product5,217,2,2025-04-07
14,16,Factory1,DC_W,Product1,176,2,2025-04-14
14,15,Factory1,DC_W,Product2,1246,1,2025-04-14
14,16,Factory1,DC_W,Product3,211,2,2025-04-14
14,17,Factory2,DC_W,Product4,102,3,2025-04-14
14,17,Factory1,DC_W,Product5,1021,3,2025-04-14
14,16,Factory1,DC_C,Product1,107,2,2025-04-14
14,15,Factory1,DC_C,Product2,131,1,2025-04-14
14,17,Factory1,DC_C,Product3,70,3,2025-04-14
14,17,Factory2,DC_C,Product4,100,3,2025-04-14
14,17,Factory1,DC_C,Product5,100,3,2025-04-14
14,15,Factory1,DC_E,Product1,125,1,2025-04-14
14,16,Factory1,DC_E,Product2,149,2,2025-04-14
14,15,Factory1,DC_E,Product3,70,1,2025-04-14
14,15,Factory2,DC_E,Product4,129,1,2025-04-14
14,16,Factory1,DC_E,Product5,82,2,2025-04-14
15,17,Factory1,DC_W,Product1,96,2,2025-04-21
15,16,Factory1,DC_W,Product2,1246,1,2025-04-21
15,17,Factory1,DC_W,Product3,205,2,2025-04-21
15,18,Factory2,DC_W,Product4,190,3,2025-04-21
15,18,Factory1,DC_W,Product5,1021,3,2025-04-21
15,17,Factory1,DC_C,Product1,143,2,2025-04-21
15,16,Factory1,DC_C,Product2,212,1,2025-04-21
15,18,Factory1,DC_C,Product3,104,3,2025-04-21
15,18,Factory2,DC_C,Product4,73,3,2025-04-21
15,18,Factory1,DC_C,Product5,226,3,2025-04-21
15,16,Factory1,DC_E,Product1,95,1,2025-04-21
15,17,Factory1,DC_E,Product2,58,2,2025-04-21
15,16,Factory1,DC_E,Product3,70,1,2025-04-21
15,16,Factory2,DC_E,Product4,23,1,2025-04-21
15,17,Factory1,DC_E,Product5,199,2,2025-04-21
16,18,Factory1,DC_W,Product1,182,2,2025-04-28
16,17,Factory1,DC_W,Product2,1246,1,2025-04-28
16,18,Factory1,DC_W,Product3,181,2,2025-04-28
16,19,Factory2,DC_W,Product4,105,3,2025-04-28
16,19,Factory1,DC_W,Product5,1021,3,2025-04-28
16,18,Factory1,DC_C,Product1,57,2,2025-04-28
16,17,Factory1,DC_C,Product2,319,1,2025-04-28
16,19,Factory1,DC_C,Product3,78,3,2025-04-28
16,19,Factory2,DC_C,Product4,126,3,2025-04-28
16,19,Factory1,DC_C,Product5,230,3,2025-04-28
16,17,Factory1,DC_E,Product1,96,1,2025-04-28
16,18,Factory1,DC_E,Product2,223,2,2025-04-28
16,17,Factory1,DC_E,Product3,36,1,2025-04-28
16,17,Factory2,DC_E,Product4,83,1,2025-04-28
16,18,Factory1,DC_E,Product5,79,2,2025-04-28
17,19,Factory1,DC_W,Product1,130,2,2025-05-05
17,18,Factory1,DC_W,Product2,1246,1,2025-05-05
17,19,Factory1,DC_W,Product3,123,2,2025-05-05
17,20,Factory2,DC_W,Product4,92,3,2025-05-05
17,20,Factory1,DC_W,Product5,1021,3,2025-05-05
17,19,Factory1,DC_C,Product1,104,2,2025-05-05
17,18,Factory1,DC_C,Product2,375,1,2025-05-05
17,20,Factory1,DC_C,Product3,160,3,2025-05-05
17,20,Factory2,DC_C,Product4,17,3,2025-05-05
17,20,Factory1,DC_C,Product5,308,3,2025-05-05
17,18,Factory1,DC_E,Product1,109,1,2025-05-05
17,19,Factory1,DC_E,Product2,169,2,2025-05-05
17,18,Factory1,DC_E,Product3,31,1,2025-05-05
17,18,Factory2,DC_E,Product4,138,1,2025-05-05
17,19,Factory1,DC_E,Product5,79,2,2025-05-05
18,20,Factory1,DC_W,Product1,186,2,2025-05-12
18,19,Factory1,DC_W,Product2,1246,1,2025-05-12
18,20,Factory1,DC_W,Product3,150,2,2025-05-12
18,21,Factory2,DC_W,Product4,166,3,2025-05-12
18,21,Factory1,DC_W,Product5,1021,3,2025-05-12
18,20,Factory1,DC_C,Product1,81,2,2025-05-12
18,19,Factory1,DC_C,Product2,129,1,2025-05-12
18,21,Factory1,DC_C,Product3,57,3,2025-05-12
18,21,Factory2,DC_C,Product4,114,3,2025-05-12
18,21,Factory1,DC_C,Product5,86,3,2025-05-12
18,19,Factory1,DC_E,Product1,84,1,2025-05-12
18,20,Factory1,DC_E,Product2,58,2,2025-05-12
18,19,Factory1,DC_E,Product3,77,1,2025-05-12
18,19,Factory2,DC_E,Product4,37,1,2025-05-12
18,20,Factory1,DC_E,Product5,160,2,2025-05-12
19,21,Factory1,DC_W,Product1,154,2,2025-05-19
19,20,Factory1,DC_W,Product2,1246,1,2025-05-19
19,21,Factory1,DC_W,Product3,125,2,2025-05-19
19,22,Factory2,DC_W,Product4,186,3,2025-05-19
19,22,Factory1,DC_W,Product5,1021,3,2025-05-19
19,21,Factory1,DC_C,Product1,61,2,2025-05-19
19,20,Factory1,DC_C,Product2,159,1,2025-05-19
19,22,Factory1,DC_C,Product3,116,3,2025-05-19
19,22,Factory2,DC_C,Product4,80,3,2025-05-19
19,22,Factory1,DC_C,Product5,77,3,2025-05-19
19,20,Factory1,DC_E,Product1,61,1,2025-05-19
19,21,Factory1,DC_E,Product2,64,2,2025-05-19
19,20,Factory1,DC_E,Product3,85,1,2025-05-19
19,20,Factory2,DC_E,Product4,44,1,2025-05-19
19,21,Factory1,DC_E,Product5,124,2,2025-05-19
20,22,Factory1,DC_W,Product1,164,2,2025-05-26
20,21,Factory1,DC_W,Product2,1246,1,2025-05-26
20,22,Factory1,DC_W,Product3,65,2,2025-05-26
20,23,Factory2,DC_W,Product4,193,3,2025-05-26
20,23,Factory1,DC_W,Product5,1021,3,2025-05-26
20,22,Factory1,DC_C,Product1,21,2,2025-05-26
20,21,Factory1,DC_C,Product2,37,1,2025-05-26
20,23,Factory1,DC_C,Product3,75,3,2025-05-26
20,23,Factory2,DC_C,Product4,79,3,2025-05-26
20,23,Factory1,DC_C,Product5,129,3,2025-05-26
20,21,Factory1,DC_E,Product1,44,1,2025-05-26
20,22,Factory1,DC_E,Product2,306,2,2025-05-26
20,21,Factory1,DC_E,Product3,127,1,2025-05-26
20,21,Factory2,DC_E,Product4,90,1,2025-05-26
20,22,Factory1,DC_E,Product5,152,2,2025-05-26
21,23,Factory1,DC_W,Product1,74,2,2025-06-02
21,22,Factory1,DC_W,Product2,1246,1,2025-06-02
21,23,Factory1,DC_W,Product3,112,2,2025-06-02
21,24,Factory2,DC_W,Product4,287,3,2025-06-02
21,24,Factory1,DC_W,Product5,1021,3,2025-06-02
21,23,Factory1,DC_C,Product1,26,2,2025-06-02
21,22,Factory1,DC_C,Product2,219,1,2025-06-02
21,24,Factory1,DC_C,Product3,73,3,2025-06-02
21,24,Factory2,DC_C,Product4,119,3,2025-06-02
21,24,Factory1,DC_C,Product5,74,3,2025-06-02
21,22,Factory1,DC_E,Product1,93,1,2025-06-02
21,23,Factory1,DC_E,Product2,172,2,2025-06-02
21,22,Factory1,DC_E,Product3,64,1,2025-06-02
21,22,Factory2,DC_E,Product4,77,1,2025-06-02
21,23,Factory1,DC_E,Product5,95,2,2025-06-02
22,24,Factory1,DC_W,Product1,83,2,2025-06-09
22,23,Factory1,DC_W,Product2,1246,1,2025-06-09
22,24,Factory1,DC_W,Product3,286,2,2025-06-09
22,25,Factory2,DC_W,Product4,52,3,2025-06-09
22,25,Factory1,DC_W,Product5,1021,3,2025-06-09
22,24,Factory1,DC_C,Product1,76,2,2025-06-09
22,23,Factory1,DC_C,Product2,117,1,2025-06-09
22,25,Factory1,DC_C,Product3,99,3,2025-06-09
22,25,Factory2,DC_C,Product4,38,3,2025-06-09
22,25,Factory1,DC_C,Product5,215,3,2025-06-09
22,23,Factory1,DC_E,Product1,142,1,2025-06-09
22,24,Factory1,DC_E,Product2,259,2,2025-06-09
22,23,Factory1,DC_E,Product3,83,1,2025-06-09
22,23,Factory2,DC_E,Product4,63,1,2025-06-09
22,24,Factory1,DC_E,Product5,164,2,2025-06-09
23,25,Factory1,DC_W,Product1,100,2,2025-06-16
23,24,Factory1,DC_W,Product2,1246,1,2025-06-16
23,25,Factory1,DC_W,Product3,334,2,2025-06-16
23,26,Factory2,DC_W,Product4,156,3,2025-06-16
23,26,Factory1,DC_W,Product5,1021,3,2025-06-16
23,25,Factory1,DC_C,Product1,65,2,2025-06-16
23,24,Factory1,DC_C,Product2,247,1,2025-06-16
23,26,Factory1,DC_C,Product3,95,3,2025-06-16
23,26,Factory2,DC_C,Product4,71,3,2025-06-16
23,26,Factory1,DC_C,Product5,162,3,2025-06-16
23,24,Factory1,DC_E,Product1,113,1,2025-06-16
23,25,Factory1,DC_E,Product2,197,2,2025-06-16
23,24,Factory1,DC_E,Product3,75,1,2025-06-16
23,24,Factory2,DC_E,Product4,142,1,2025-06-16
23,25,Factory1,DC_E,Product5,117,2,2025-06-16
24,26,Factory1,DC_W,Product1,145,2,2025-06-23
24,25,Factory1,DC_W,Product2,1246,1,2025-06-23
24,26,Factory1,DC_W,Product3,144,2,2025-06-23
24,27,Factory2,DC_W,Product4,121,3,2025-06-23
24,27,Factory1,DC_W,Product5,1021,3,2025-06-23
24,26,Factory1,DC_C,Product1,93,2,2025-06-23
24,25,Factory1,DC_C,Product2,202,1,2025-06-23
24,27,Factory1,DC_C,Product3,71,3,2025-06-23
24,27,Factory2,DC_C,Product4,68,3,2025-06-23
24,27,Factory1,DC_C,Product5,92,3,2025-06-23
24,25,Factory1,DC_E,Product1,129,1,2025-06-23
24,26,Factory1,DC_E,Product2,106,2,2025-06-23
24,25,Factory1,DC_E,Product3,185,1,2025-06-23
24,25,Factory2,DC_E,Product4,53,1,2025-06-23
24,26,Factory1,DC_E,Product5,188,2,2025-06-23
25,27,Factory1,DC_W,Product1,205,2,2025-06-30
25,26,Factory1,DC_W,Product2,1246,1,2025-06-30
25,27,Factory1,DC_W,Product3,180,2,2025-06-30
25,28,Factory2,DC_W,Product4,63,3,2025-06-30
25,28,Factory1,DC_W,Product5,1021,3,2025-06-30
25,27,Factory1,DC_C,Product1,41,2,2025-06-30
25,26,Factory1,DC_C,Product2,112,1,2025-06-30
25,28,Factory1,DC_C,Product3,39,3,2025-06-30
25,28,Factory2,DC_C,Product4,107,3,2025-06-30
25,28,Factory1,DC_C,Product5,116,3,2025-06-30
25,26,Factory1,DC_E,Product1,55,1,2025-06-30
25,27,Factory1,DC_E,Product2,161,2,2025-06-30
25,26,Factory1,DC_E,Product3,51,1,2025-06-30
25,26,Factory2,DC_E,Product4,56,1,2025-06-30
25,27,Factory1,DC_E,Product5,183,2,2025-06-30
26,28,Factory1,DC_W,Product1,72,2,2025-07-07
26,27,Factory1,DC_W,Product2,1246,1,2025-07-07
26,28,Factory1,DC_W,Product3,85,2,2025-07-07
26,29,Factory2,DC_W,Product4,263,3,2025-07-07
26,29,Factory1,DC_W,Product5,1021,3,2025-07-07
26,28,Factory1,DC_C,Product1,77,2,2025-07-07
26,27,Factory1,DC_C,Product2,239,1,2025-07-07
26,29,Factory1,DC_C,Product3,91,3,2025-07-07
26,29,Factory2,DC_C,Product4,63,3,2025-07-07
26,29,Factory1,DC_C,Product5,95,3,2025-07-07
26,27,Factory1,DC_E,Product1,51,1,2025-07-07
26,28,Factory1,DC_E,Product2,133,2,2025-07-07
26,27,Factory1,DC_E,Product3,76,1,2025-07-07
26,27,Factory2,DC_E,Product4,26,1,2025-07-07
26,28,Factory1,DC_E,Product5,130,2,2025-07-07
27,29,Factory1,DC_W,Product1,81,2,2025-07-14
27,28,Factory1,DC_W,Product2,1246,1,2025-07-14
27,29,Factory1,DC_W,Product3,118,2,2025-07-14
27,30,Factory2,DC_W,Product4,332,3,2025-07-14
27,30,Factory1,DC_W,Product5,1021,3,2025-07-14
27,29,Factory1,DC_C,Product1,63,2,2025-07-14
27,28,Factory1,DC_C,Product2,238,1,2025-07-14
27,30,Factory1,DC_C,Product3,180,3,2025-07-14
27,30,Factory2,DC_C,Product4,52,3,2025-07-14
27,30,Factory1,DC_C,Product5,201,3,2025-07-14
27,28,Factory1,DC_E,Product1,108,1,2025-07-14
27,29,Factory1,DC_E,Product2,126,2,2025-07-14
27,28,Factory1,DC_E,Product3,81,1,2025-07-14
27,28,Factory2,DC_E,Product4,76,1,2025-07-14
27,29,Factory1,DC_E,Product5,91,2,2025-07-14
28,30,Factory1,DC_W,Product1,119,2,2025-07-21
28,29,Factory1,DC_W,Product2,1246,1,2025-07-21
28,30,Factory1,DC_W,Product3,99,2,2025-07-21
28,31,Factory2,DC_W,Product4,69,3,2025-07-21
28,31,Factory1,DC_W,Product5,1021,3,2025-07-21
28,30,Factory1,DC_C,Product1,76,2,2025-07-21
28,29,Factory1,DC_C,Product2,229,1,2025-07-21
28,31,Factory1,DC_C,Product3,45,3,2025-07-21
28,31,Factory2,DC_C,Product4,158,3,2025-07-21
28,31,Factory1,DC_C,Product5,72,3,2025-07-21
28,29,Factory1,DC_E,Product1,99,1,2025-07-21
28,30,Factory1,DC_E,Product2,237,2,2025-07-21
28,29,Factory1,DC_E,Product3,93,1,2025-07-21
28,29,Factory2,DC_E,Product4,55,1,2025-07-21
28,30,Factory1,DC_E,Product5,92,2,2025-07-21
29,31,Factory1,DC_W,Product1,139,2,2025-07-28
29,30,Factory1,DC_W,Product2,1246,1,2025-07-28
29,31,Factory1,DC_W,Product3,158,2,2025-07-28
29,32,Factory2,DC_W,Product4,134,3,2025-07-28
29,32,Factory1,DC_W,Product5,1021,3,2025-07-28
29,31,Factory1,DC_C,Product1,53,2,2025-07-28
29,30,Factory1,DC_C,Product2,182,1,2025-07-28
29,32,Factory1,DC_C,Product3,135,3,2025-07-28
29,32,Factory2,DC_C,Product4,46,3,2025-07-28
29,32,Factory1,DC_C,Product5,151,3,2025-07-28
29,30,Factory1,DC_E,Product1,38,1,2025-07-28
29,31,Factory1,DC_E,Product2,176,2,2025-07-28
29,30,Factory1,DC_E,Product3,56,1,2025-07-28
29,30,Factory2,DC_E,Product4,68,1,2025-07-28
29,31,Factory1,DC_E,Product5,63,2,2025-07-28
30,32,Factory1,DC_W,Product1,125,2,2025-08-04
30,31,Factory1,DC_W,Product2,1246,1,2025-08-04
30,32,Factory1,DC_W,Product3,98,2,2025-08-04
30,33,Factory2,DC_W,Product4,96,3,2025-08-04
30,33,Factory1,DC_W,Product5,1021,3,2025-08-04
30,32,Factory1,DC_C,Product1,64,2,2025-08-04
30,31,Factory1,DC_C,Product2,131,1,2025-08-04
30,33,Factory1,DC_C,Product3,51,3,2025-08-04
30,33,Factory2,DC_C,Product4,56,3,2025-08-04
30,33,Factory1,DC_C,Product5,149,3,2025-08-04
30,31,Factory1,DC_E,Product1,39,1,2025-08-04
30,32,Factory1,DC_E,Product2,154,2,2025-08-04
30,31,Factory1,DC_E,Product3,120,1,2025-08-04
30,31,Factory2,DC_E,Product4,123,1,2025-08-04
30,32,Factory1,DC_E,Product5,128,2,2025-08-04
31,33,Factory1,DC_W,Product1,121,2,2025-08-11
31,32,Factory1,DC_W,Product2,1246,1,2025-08-11
31,33,Factory1,DC_W,Product3,254,2,2025-08-11
31,34,Factory2,DC_W,Product4,246,3,2025-08-11
31,34,Factory1,DC_W,Product5,805,3,2025-08-11
31,33,Factory1,DC_C,Product1,28,2,2025-08-11
31,32,Factory1,DC_C,Product2,324,1,2025-08-11
31,34,Factory1,DC_C,Product3,111,3,2025-08-11
31,34,Factory2,DC_C,Product4,45,3,2025-08-11
31,34,Factory1,DC_C,Product5,140,3,2025-08-11
31,32,Factory1,DC_E,Product1,103,1,2025-08-11
31,33,Factory1,DC_E,Product2,94,2,2025-08-11
31,32,Factory1,DC_E,Product3,39,1,2025-08-11
