week,week_start,region,product,demand
12,2025-03-31,Central,Product2,111
12,2025-03-31,East,Product2,157
12,2025-03-31,West,Product3,104
12,2025-03-31,Central,Product3,69
12,2025-03-31,East,Product3,71
12,2025-03-31,West,Product4,42
12,2025-03-31,Central,Product4,56
12,2025-03-31,East,Product4,30
12,2025-03-31,West,Product5,198
12,2025-03-31,Central,Product5,167
12,2025-03-31,East,Product5,80
13,2025-04-07,West,Product1,106
13,2025-04-07,Central,Product1,120
13,2025-04-07,East,Product1,110
13,2025-04-07,West,Product2,285
13,2025-04-07,Central,Product2,100
13,2025-04-07,East,Product2,156
13,2025-04-07,West,Product3,162
13,2025-04-07,Central,Product3,77
13,2025-04-07,East,Product3,61
13,2025-04-07,West,Product4,75
13,2025-04-07,Central,Product4,106
13,2025-04-07,East,Product4,24
13,2025-04-07,West,Product5,107
13,2025-04-07,Central,Product5,129
13,2025-04-07,East,Product5,217
14,2025-04-14,West,Product1,122
14,2025-04-14,Central,Product1,107
14,2025-04-14,East,Product1,125
14,2025-04-14,West,Product2,290
14,2025-04-14,Central,Product2,131
14,2025-04-14,East,Product2,149
14,2025-04-14,West,Product3,175
14,2025-04-14,Central,Product3,70
14,2025-04-14,East,Product3,70
14,2025-04-14,West,Product4,102
14,2025-04-14,Central,Product4,100
14,2025-04-14,East,Product4,129
14,2025-04-14,West,Product5,297
14,2025-04-14,Central,Product5,100
14,2025-04-14,East,Product5,82
15,2025-04-21,West,Product1,96
15,2025-04-21,Central,Product1,143
15,2025-04-21,East,Product1,95
15,2025-04-21,West,Product2,80
15,2025-04-21,Central,Product2,212
15,2025-04-21,East,Product2,58
15,2025-04-21,West,Product3,205
15,2025-04-21,Central,Product3,104
15,2025-04-21,East,Product3,70
15,2025-04-21,West,Product4,104
15,2025-04-21,Central,Product4,73
15,2025-04-21,East,Product4,23
15,2025-04-21,West,Product5,173
15,2025-04-21,Central,Product5,126
15,2025-04-21,East,Product5,166
16,2025-04-28,West,Product1,182
16,2025-04-28,Central,Product1,57
16,2025-04-28,East,Product1,96
16,2025-04-28,West,Product2,131
16,2025-04-28,Central,Product2,232
16,2025-04-28,East,Product2,223
16,2025-04-28,West,Product3,181
16,2025-04-28,Central,Product3,78
16,2025-04-28,East,Product3,36
16,2025-04-28,West,Product4,105
16,2025-04-28,Central,Product4,126
16,2025-04-28,East,Product4,83
16,2025-04-28,West,Product5,188
16,2025-04-28,Central,Product5,111
16,2025-04-28,East,Product5,79
17,2025-05-05,West,Product1,130
17,2025-05-05,Central,Product1,104
17,2025-05-05,East,Product1,109
17,2025-05-05,West,Product2,156
17,2025-05-05,Central,Product2,229
17,2025-05-05,East,Product2,169
17,2025-05-05,West,Product3,123
17,2025-05-05,Central,Product3,160
17,2025-05-05,East,Product3,31
17,2025-05-05,West,Product4,92
17,2025-05-05,Central,Product4,17
17,2025-05-05,East,Product4,138
17,2025-05-05,West,Product5,120
17,2025-05-05,Central,Product5,157
17,2025-05-05,East,Product5,79
18,2025-05-12,West,Product1,186
18,2025-05-12,Central,Product1,81
18,2025-05-12,East,Product1,84
18,2025-05-12,West,Product2,280
18,2025-05-12,Central,Product2,129
18,2025-05-12,East,Product2,58
18,2025-05-12,West,Product3,118
18,2025-05-12,Central,Product3,57
18,2025-05-12,East,Product3,77
18,2025-05-12,West,Product4,74
18,2025-05-12,Central,Product4,114
18,2025-05-12,East,Product4,37
18,2025-05-12,West,Product5,144
18,2025-05-12,Central,Product5,86
18,2025-05-12,East,Product5,160
19,2025-05-19,West,Product1,154
19,2025-05-19,Central,Product1,61
19,2025-05-19,East,Product1,61
19,2025-05-19,West,Product2,234
19,2025-05-19,Central,Product2,159
19,2025-05-19,East,Product2,64
19,2025-05-19,West,Product3,125
19,2025-05-19,Central,Product3,116
19,2025-05-19,East,Product3,85
19,2025-05-19,West,Product4,82
19,2025-05-19,Central,Product4,80
19,2025-05-19,East,Product4,44
19,2025-05-19,West,Product5,218
19,2025-05-19,Central,Product5,77
19,2025-05-19,East,Product5,124
20,2025-05-26,West,Product1,164
20,2025-05-26,Central,Product1,21
20,2025-05-26,East,Product1,44
20,2025-05-26,West,Product2,77
20,2025-05-26,Central,Product2,37
20,2025-05-26,East,Product2,306
20,2025-05-26,West,Product3,65
20,2025-05-26,Central,Product3,75
20,2025-05-26,East,Product3,127
20,2025-05-26,West,Product4,191
20,2025-05-26,Central,Product4,79
20,2025-05-26,East,Product4,90
20,2025-05-26,West,Product5,110
20,2025-05-26,Central,Product5,129
20,2025-05-26,East,Product5,152
21,2025-06-02,West,Product1,74
21,2025-06-02,Central,Product1,26
21,2025-06-02,East,Product1,93
21,2025-06-02,West,Product2,249
21,2025-06-02,Central,Product2,182
21,2025-06-02,East,Product2,58
21,2025-06-02,West,Product3,112
21,2025-06-02,Central,Product3,73
21,2025-06-02,East,Product3,64
21,2025-06-02,West,Product4,119
21,2025-06-02,Central,Product4,119
21,2025-06-02,East,Product4,77
21,2025-06-02,West,Product5,218
21,2025-06-02,Central,Product5,74
21,2025-06-02,East,Product5,95
22,2025-06-09,West,Product1,83
22,2025-06-09,Central,Product1,76
22,2025-06-09,East,Product1,142
22,2025-06-09,West,Product2,100
22,2025-06-09,Central,Product2,117
22,2025-06-09,East,Product2,259
22,2025-06-09,West,Product3,174
22,2025-06-09,Central,Product3,85
22,2025-06-09,East,Product3,83
22,2025-06-09,West,Product4,52
22,2025-06-09,Central,Product4,38
22,2025-06-09,East,Product4,63
22,2025-06-09,West,Product5,144
22,2025-06-09,Central,Product5,215
22,2025-06-09,East,Product5,164
23,2025-06-16,West,Product1,100
23,2025-06-16,Central,Product1,65
23,2025-06-16,East,Product1,113
23,2025-06-16,West,Product2,197
23,2025-06-16,Central,Product2,130
23,2025-06-16,East,Product2,128
23,2025-06-16,West,Product3,63
23,2025-06-16,Central,Product3,95
23,2025-06-16,East,Product3,75
23,2025-06-16,West,Product4,156
23,2025-06-16,Central,Product4,71
23,2025-06-16,East,Product4,142
23,2025-06-16,West,Product5,189
23,2025-06-16,Central,Product5,73
23,2025-06-16,East,Product5,117
24,2025-06-23,West,Product1,145
24,2025-06-23,Central,Product1,93
24,2025-06-23,East,Product1,129
24,2025-06-23,West,Product2,215
24,2025-06-23,Central,Product2,202
24,2025-06-23,East,Product2,106
24,2025-06-23,West,Product3,144
24,2025-06-23,Central,Product3,71
24,2025-06-23,East,Product3,185
24,2025-06-23,West,Product4,121
24,2025-06-23,Central,Product4,68
24,2025-06-23,East,Product4,53
24,2025-06-23,West,Product5,183
24,2025-06-23,Central,Product5,92
24,2025-06-23,East,Product5,188
25,2025-06-30,West,Product1,92
25,2025-06-30,Central,Product1,41
25,2025-06-30,East,Product1,55
25,2025-06-30,West,Product2,162
25,2025-06-30,Central,Product2,112
25,2025-06-30,East,Product2,161
25,2025-06-30,West,Product3,180
25,2025-06-30,Central,Product3,39
25,2025-06-30,East,Product3,51
25,2025-06-30,West,Product4,63
25,2025-06-30,Central,Product4,107
25,2025-06-30,East,Product4,56
25,2025-06-30,West,Product5,110
25,2025-06-30,Central,Product5,116
25,2025-06-30,East,Product5,183
26,2025-07-07,West,Product1,72
26,2025-07-07,Central,Product1,77
26,2025-07-07,East,Product1,51
26,2025-07-07,West,Product2,137
26,2025-07-07,Central,Product2,174
26,2025-07-07,East,Product2,133
26,2025-07-07,West,Product3,85
26,2025-07-07,Central,Product3,91
26,2025-07-07,East,Product3,76
26,2025-07-07,West,Product4,263
26,2025-07-07,Central,Product4,63
26,2025-07-07,East,Product4,26
26,2025-07-07,West,Product5,94
26,2025-07-07,Central,Product5,95
26,2025-07-07,East,Product5,130
27,2025-07-14,West,Product1,81
27,2025-07-14,Central,Product1,63
27,2025-07-14,East,Product1,108
27,2025-07-14,West,Product2,120
27,2025-07-14,Central,Product2,146
27,2025-07-14,East,Product2,126
27,2025-07-14,West,Product3,118
27,2025-07-14,Central,Product3,180
27,2025-07-14,East,Product3,81
27,2025-07-14,West,Product4,106
27,2025-07-14,Central,Product4,52
27,2025-07-14,East,Product4,76
27,2025-07-14,West,Product5,183
27,2025-07-14,Central,Product5,119
27,2025-07-14,East,Product5,91
28,2025-07-21,West,Product1,119
28,2025-07-21,Central,Product1,76
28,2025-07-21,East,Product1,99
28,2025-07-21,West,Product2,217
28,2025-07-21,Central,Product2,146
28,2025-07-21,East,Product2,237
28,2025-07-21,West,Product3,99
28,2025-07-21,Central,Product3,45
28,2025-07-21,East,Product3,93
28,2025-07-21,West,Product4,69
28,2025-07-21,Central,Product4,158
28,2025-07-21,East,Product4,55
28,2025-07-21,West,Product5,184
28,2025-07-21,Central,Product5,72
28,2025-07-21,East,Product5,92
29,2025-07-28,West,Product1,109
29,2025-07-28,Central,Product1,53
29,2025-07-28,East,Product1,38
29,2025-07-28,West,Product2,124
29,2025-07-28,Central,Product2,182
29,2025-07-28,East,Product2,176
29,2025-07-28,West,Product3,102
29,2025-07-28,Central,Product3,135
29,2025-07-28,East,Product3,56
29,2025-07-28,West,Product4,105
29,2025-07-28,Central,Product4,46
29,2025-07-28,East,Product4,68
29,2025-07-28,West,Product5,190
29,2025-07-28,Central,Product5,151
29,2025-07-28,East,Product5,63
30,2025-08-04,West,Product1,125
30,2025-08-04,Central,Product1,64
30,2025-08-04,East,Product1,39
30,2025-08-04,West,Product2,203
30,2025-08-04,Central,Product2,131
30,2025-08-04,East,Product2,154
30,2025-08-04,West,Product3,98
30,2025-08-04,Central,Product3,51
30,2025-08-04,East,Product3,120
30,2025-08-04,West,Product4,96
30,2025-08-04,Central,Product4,56
30,2025-08-04,East,Product4,123
30,2025-08-04,West,Product5,112
30,2025-08-04,Central,Product5,144
30,2025-08-04,East,Product5,128
31,2025-08-11,West,Product1,121
31,2025-08-11,Central,Product1,28
31,2025-08-11,East,Product1,103
31,2025-08-11,West,Product2,157
31,2025-08-11,Central,Product2,235
31,2025-08-11,East,Product2,94
31,2025-08-11,West,Product3,156
31,2025-08-11,Central,Product3,60
31,2025-08-11,East,Product3,38
31,2025-08-11,West,Product4,157
31,2025-08-11,Central,Product4,45
31,2025-08-11,East,Product4,18
31,2025-08-11,West,Product5,137
31,2025-08-11,Central,Product5,140
31,2025-08-11,East,Product5,38
32,2025-08-18,West,Product1,60
32,2025-08-18,Central,Product1,73
32,2025-08-18,East,Product1,51
32,2025-08-18,West,Product2,130
32,2025-08-18,Central,Product2,170
32,2025-08-18,East,Product2,172
32,2025-08-18,West,Product3,145
32,2025-08-18,Central,Product3,188
32,2025-08-18,East,Product3,44
32,2025-08-18,West,Product4,38
32,2025-08-18,Central,Product4,99
32,2025-08-18,East,Product4,57
32,2025-08-18,West,Product5,131
32,2025-08-18,Central,Product5,241
32,2025-08-18,East,Product5,59
33,2025-08-25,West,Product1,45
33,2025-08-25,Central,Product1,72
33,2025-08-25,East,Product1,84
33,2025-08-25,West,Product2,103
33,2025-08-25,Central,Product2,110
33,2025-08-25,East,Product2,107
33,2025-08-25,West,Product3,143
33,2025-08-25,Central,Product3,93
33,2025-08-25,East,Product3,45
33,2025-08-25,West,Product4,115
33,2025-08-25,Central,Product4,111
33,2025-08-25,East,Product4,88
33,2025-08-25,West,Product5,45
33,2025-08-25,Central,Product5,83
33,2025-08-25,East,Product5,239
34,2025-09-01,West,Product1,93
34,2025-09-01,Central,Product1,60
34,2025-09-01,East,Product1,61
34,2025-09-01,West,Product2,131
34,2025-09-01,Central,Product2,142
34,2025-09-01,East,Product2,88
34,2025-09-01,West,Product3,135
34,2025-09-01,Central,Product3,48
34,2025-09-01,East,Product3,155
34,2025-09-01,West,Product4,73
34,2025-09-01,Central,Product4,37
34,2025-09-01,East,Product4,74
34,2025-09-01,West,Product5,103
34,2025-09-01,Central,Product5,152
34,2025-09-01,East,Product5,59
35,2025-09-08,West,Product1,97
35,2025-09-08,Central,Product1,77
35,2025-09-08,East,Product1,66
35,2025-09-08,West,Product2,263
35,2025-09-08,Central,Product2,120
35,2025-09-08,East,Product2,61
35,2025-09-08,West,Product3,59
35,2025-09-08,Central,Product3,99
35,2025-09-08,East,Product3,84
35,2025-09-08,West,Product4,87
35,2025-09-08,Central,Product4,126
35,2025-09-08,East,Product4,43
35,2025-09-08,West,Product5,157
35,2025-09-08,Central,Product5,143
35,2025-09-08,East,Product5,99
36,2025-09-15,West,Product1,62
36,2025-09-15,Central,Product1,93
36,2025-09-15,East,Product1,78
36,2025-09-15,West,Product2,126
36,2025-09-15,Central,Product2,144
36,2025-09-15,East,Product2,27
36,2025-09-15,West,Product3,112
36,2025-09-15,Central,Product3,89
36,2025-09-15,East,Product3,107
36,2025-09-15,West,Product4,40
36,2025-09-15,Central,Product4,40
36,2025-09-15,East,Product4,89
36,2025-09-15,West,Product5,190
36,2025-09-15,Central,Product5,68
36,2025-09-15,East,Product5,206
37,2025-09-22,West,Product1,73
37,2025-09-22,Central,Product1,42
37,2025-09-22,East,Product1,74
37,2025-09-22,West,Product2,152
37,2025-09-22,Central,Product2,158
37,2025-09-22,East,Product2,36
37,2025-09-22,West,Product3,129
37,2025-09-22,Central,Product3,57
37,2025-09-22,East,Product3,76
37,2025-09-22,West,Product4,127
37,2025-09-22,Central,Product4,56
37,2025-09-22,East,Product4,55
37,2025-09-22,West,Product5,205
37,2025-09-22,Central,Product5,111
37,2025-09-22,East,Product5,75
38,2025-09-29,West,Product1,133
38,2025-09-29,Central,Product1,50
38,2025-09-29,East,Product1,44
38,2025-09-29,West,Product2,161
38,2025-09-29,Central,Product2,125
38,2025-09-29,East,Product2,42
38,2025-09-29,West,Product3,99
38,2025-09-29,Central,Product3,148
38,2025-09-29,East,Product3,77
38,2025-09-29,West,Product4,63
38,2025-09-29,Central,Product4,73
38,2025-09-29,East,Product4,96
38,2025-09-29,West,Product5,69
38,2025-09-29,Central,Product5,143
38,2025-09-29,East,Product5,186
39,2025-10-06,West,Product1,79
39,2025-10-06,Central,Product1,116
39,2025-10-06,East,Product1,61
39,2025-10-06,West,Product2,63
39,2025-10-06,Central,Product2,95
39,2025-10-06,East,Product2,149
39,2025-10-06,West,Product3,111
39,2025-10-06,Central,Product3,52
39,2025-10-06,East,Product3,105
39,2025-10-06,West,Product4,56
39,2025-10-06,Central,Product4,89
39,2025-10-06,East,Product4,95
39,2025-10-06,West,Product5,82
39,2025-10-06,Central,Product5,165
39,2025-10-06,East,Product5,56
40,2025-10-13,West,Product1,68
40,2025-10-13,Central,Product1,58
40,2025-10-13,East,Product1,91
40,2025-10-13,West,Product2,187
40,2025-10-13,Central,Product2,231
40,2025-10-13,East,Product2,29
40,2025-10-13,West,Product3,121
40,2025-10-13,Central,Product3,86
40,2025-10-13,East,Product3,47
40,2025-10-13,West,Product4,80
40,2025-10-13,Central,Product4,57
40,2025-10-13,East,Product4,85
40,2025-10-13,West,Product5,228
40,2025-10-13,Central,Product5,49
40,2025-10-13,East,Product5,101
41,2025-10-20,West,Product1,114
41,2025-10-20,Central,Product1,113
41,2025-10-20,East,Product1,33
41,2025-10-20,West,Product2,150
41,2025-10-20,Central,Product2,162
41,2025-10-20,East,Product2,125
41,2025-10-20,West,Product3,54
41,2025-10-20,Central,Product3,167
41,2025-10-20,East,Product3,77
41,2025-10-20,West,Product4,91
41,2025-10-20,Central,Product4,100
41,2025-10-20,East,Product4,41
41,2025-10-20,West,Product5,150
41,2025-10-20,Central,Product5,155
41,2025-10-20,East,Product5,59
42,2025-10-27,West,Product1,71
42,2025-10-27,Central,Product1,46
42,2025-10-27,East,Product1,82
42,2025-10-27,West,Product2,40
42,2025-10-27,Central,Product2,250
42,2025-10-27,East,Product2,80
42,2025-10-27,West,Product3,102
42,2025-10-27,Central,Product3,58
42,2025-10-27,East,Product3,65
42,2025-10-27,West,Product4,120
42,2025-10-27,Central,Product4,79
42,2025-10-27,East,Product4,40
42,2025-10-27,West,Product5,178
42,2025-10-27,Central,Product5,52
42,2025-10-27,East,Product5,94
43,2025-11-03,West,Product1,108
43,2025-11-03,Central,Product1,75
43,2025-11-03,East,Product1,86
43,2025-11-03,West,Product2,211
43,2025-11-03,Central,Product2,163
43,2025-11-03,East,Product2,61
43,2025-11-03,West,Product3,138
43,2025-11-03,Central,Product3,67
43,2025-11-03,East,Product3,57
43,2025-11-03,West,Product4,101
43,2025-11-03,Central,Product4,98
43,2025-11-03,East,Product4,61
43,2025-11-03,West,Product5,133
43,2025-11-03,Central,Product5,93
43,2025-11-03,East,Product5,74
44,2025-11-10,West,Product1,140
44,2025-11-10,Central,Product1,72
44,2025-11-10,East,Product1,72
44,2025-11-10,West,Product2,113
44,2025-11-10,Central,Product2,166
44,2025-11-10,East,Product2,116
44,2025-11-10,West,Product3,154
44,2025-11-10,Central,Product3,79
44,2025-11-10,East,Product3,52
44,2025-11-10,West,Product4,100
44,2025-11-10,Central,Product4,111
44,2025-11-10,East,Product4,54
44,2025-11-10,West,Product5,46
44,2025-11-10,Central,Product5,169
44,2025-11-10,East,Product5,128
45,2025-11-17,West,Product1,38
45,2025-11-17,Central,Product1,87
45,2025-11-17,East,Product1,133
45,2025-11-17,West,Product2,139
45,2025-11-17,Central,Product2,224
45,2025-11-17,East,Product2,141
45,2025-11-17,West,Product3,100
45,2025-11-17,Central,Product3,115
45,2025-11-17,East,Product3,105
45,2025-11-17,West,Product4,132
45,2025-11-17,Central,Product4,58
45,2025-11-17,East,Product4,112
45,2025-11-17,West,Product5,151
45,2025-11-17,Central,Product5,70
45,2025-11-17,East,Product5,129
46,2025-11-24,West,Product1,77
46,2025-11-24,Central,Product1,56
46,2025-11-24,East,Product1,60
46,2025-11-24,West,Product2,202
46,2025-11-24,Central,Product2,151
46,2025-11-24,East,Product2,168
46,2025-11-24,West,Product3,62
46,2025-11-24,Central,Product3,49
46,2025-11-24,East,Product3,68
46,2025-11-24,West,Product4,136
46,2025-11-24,Central,Product4,101
46,2025-11-24,East,Product4,76
46,2025-11-24,West,Product5,87
46,2025-11-24,Central,Product5,125
46,2025-11-24,East,Product5,80
47,2025-12-01,West,Product1,58
47,2025-12-01,Central,Product1,72
47,2025-12-01,East,Product1,66
47,2025-12-01,West,Product2,226
47,2025-12-01,Central,Product2,59
47,2025-12-01,East,Product2,120
47,2025-12-01,West,Product3,95
47,2025-12-01,Central,Product3,71
47,2025-12-01,East,Product3,53
47,2025-12-01,West,Product4,136
47,2025-12-01,Central,Product4,67
47,2025-12-01,East,Product4,137
47,2025-12-01,West,Product5,167
47,2025-12-01,Central,Product5,60
47,2025-12-01,East,Product5,167
48,2025-12-08,West,Product1,124
48,2025-12-08,Central,Product1,39
48,2025-12-08,East,Product1,125
48,2025-12-08,West,Product2,262
48,2025-12-08,Central,Product2,187
48,2025-12-08,East,Product2,149
48,2025-12-08,West,Product3,49
48,2025-12-08,Central,Product3,114
48,2025-12-08,East,Product3,148
48,2025-12-08,West,Product4,138
48,2025-12-08,Central,Product4,88
48,2025-12-08,East,Product4,65
48,2025-12-08,West,Product5,83
48,2025-12-08,Central,Product5,97
48,2025-12-08,East,Product5,120
49,2025-12-15,West,Product1,79
49,2025-12-15,Central,Product1,81
49,2025-12-15,East,Product1,64
49,2025-12-15,West,Product2,172
49,2025-12-15,Central,Product2,267
49,2025-12-15,East,Product2,127
49,2025-12-15,West,Product3,104
49,2025-12-15,Central,Product3,72
49,2025-12-15,East,Product3,102
49,2025-12-15,West,Product4,143
49,2025-12-15,Central,Product4,76
49,2025-12-15,East,Product4,94
49,2025-12-15,West,Product5,130
49,2025-12-15,Central,Product5,67
49,2025-12-15,East,Product5,127
50,2025-12-22,West,Product1,26
50,2025-12-22,Central,Product1,169
50,2025-12-22,East,Product1,110
50,2025-12-22,West,Product2,160
50,2025-12-22,Central,Product2,123
50,2025-12-22,East,Product2,137
50,2025-12-22,West,Product3,140
50,2025-12-22,Central,Product3,62
50,2025-12-22,East,Product3,51
50,2025-12-22,West,Product4,55
50,2025-12-22,Central,Product4,87
50,2025-12-22,East,Product4,53
50,2025-12-22,West,Product5,82
50,2025-12-22,Central,Product5,186
50,2025-12-22,East,Product5,119
51,2025-12-29,West,Product1,67
51,2025-12-29,Central,Product1,126
51,2025-12-29,East,Product1,61
51,2025-12-29,West,Product2,190
51,2025-12-29,Central,Product2,123
51,2025-12-29,East,Product2,134
51,2025-12-29,West,Product3,128
51,2025-12-29,Central,Product3,37
51,2025-12-29,East,Product3,93
51,2025-12-29,West,Product4,73
51,2025-12-29,Central,Product4,59
51,2025-12-29,East,Product4,267
51,2025-12-29,West,Product5,181
51,2025-12-29,Central,Product5,237
51,2025-12-29,East,Product5,93
52,2026-01-05,West,Product1,130
52,2026-01-05,Central,Product1,36
52,2026-01-05,East,Product1,67
52,2026-01-05,West,Product2,186
52,2026-01-05,Central,Product2,96
52,2026-01-05,East,Product2,171
52,2026-01-05,West,Product3,68
52,2026-01-05,Central,Product3,97
52,2026-01-05,East,Product3,74
52,2026-01-05,West,Product4,115
52,2026-01-05,Central,Product4,62
52,2026-01-05,East,Product4,65
52,2026-01-05,West,Product5,184
52,2026-01-05,Central,Product5,50
52,2026-01-05,East,Product5,107
53,2026-01-12,West,Product1,145
53,2026-01-12,Central,Product1,71
53,2026-01-12,East,Product1,131
53,2026-01-12,West,Product2,163
53,2026-01-12,Central,Product2,105
53,2026-01-12,East,Product2,232
53,2026-01-12,West,Product3,134
53,2026-01-12,Central,Product3,91
53,2026-01-12,East,Product3,120
53,2026-01-12,West,Product4,115
53,2026-01-12,Central,Product4,93
