week,week_start,location,product,holding_cost,stockout_cost,reward,served_units,unmet_units
2,2025-01-20,DC_C,Product3,3.36,0.0,-3.36,103,0
2,2025-01-20,DC_C,Product4,0.0,1348.35,-1348.35,0,101
2,2025-01-20,DC_C,Product5,0.0,5203.03,-5203.03,0,239
2,2025-01-20,DC_E,Product1,20.35,0.0,-20.35,172,0
2,2025-01-20,DC_E,Product2,29.568,0.0,-29.568,254,0
2,2025-01-20,DC_E,Product3,15.96,0.0,-15.96,133,0
2,2025-01-20,DC_E,Product4,30.25,0.0,-30.25,74,0
2,2025-01-20,DC_E,Product5,68.326,0.0,-68.326,164,0
3,2025-01-27,DC_W,Product1,25.41,0.0,-25.41,73,0
3,2025-01-27,DC_W,Product2,115.584,0.0,-115.584,207,0
3,2025-01-27,DC_W,Product3,67.48,0.0,-67.48,123,0
3,2025-01-27,DC_W,Product4,11.011,0.0,-11.011,97,0
3,2025-01-27,DC_W,Product5,0.0,1132.04,-1132.04,393,52
3,2025-01-27,DC_C,Product1,18.26,0.0,-18.26,81,0
3,2025-01-27,DC_C,Product2,109.536,0.0,-109.536,96,0
3,2025-01-27,DC_C,Product3,13.16,0.0,-13.16,149,0
3,2025-01-27,DC_C,Product4,0.0,2696.7,-2696.7,0,202
3,2025-01-27,DC_C,Product5,0.0,3047.8,-3047.8,266,140
3,2025-01-27,DC_E,Product1,22.11,0.0,-22.11,156,0
3,2025-01-27,DC_E,Product2,21.504,0.0,-21.504,146,0
3,2025-01-27,DC_E,Product3,29.12,0.0,-29.12,86,0
3,2025-01-27,DC_E,Product4,30.25,0.0,-30.25,74,0
3,2025-01-27,DC_E,Product5,110.828,0.0,-110.828,105,0
4,2025-02-03,DC_W,Product1,12.1,0.0,-12.1,162,0
4,2025-02-03,DC_W,Product2,130.032,0.0,-130.032,99,0
4,2025-02-03,DC_W,Product3,40.32,0.0,-40.32,97,0
4,2025-02-03,DC_W,Product4,14.036,0.0,-14.036,100,0
4,2025-02-03,DC_W,Product5,0.0,3766.21,-3766.21,0,173
4,2025-02-03,DC_C,Product1,9.46,0.0,-9.46,105,0
4,2025-02-03,DC_C,Product2,86.688,0.0,-86.688,203,0
4,2025-02-03,DC_C,Product3,4.2,0.0,-4.2,69,0
4,2025-02-03,DC_C,Product4,20.086,0.0,-20.086,273,0
4,2025-02-03,DC_C,Product5,0.0,4745.86,-4745.86,168,218
4,2025-02-03,DC_E,Product1,30.47,0.0,-30.47,80,0
4,2025-02-03,DC_E,Product2,36.96,0.0,-36.96,181,0
4,2025-02-03,DC_E,Product3,0.0,1249.5,-1249.5,104,75
4,2025-02-03,DC_E,Product4,24.684,0.0,-24.684,120,0
4,2025-02-03,DC_E,Product5,153.868,0.0,-153.868,84,0
5,2025-02-10,DC_W,Product1,0.0,22.52,-22.52,110,2
5,2025-02-10,DC_W,Product2,4.368,0.0,-4.368,374,0
5,2025-02-10,DC_W,Product3,85.96,0.0,-85.96,61,0
5,2025-02-10,DC_W,Product4,20.207,0.0,-20.207,74,0
5,2025-02-10,DC_W,Product5,0.0,1915.76,-1915.76,204,88
5,2025-02-10,DC_C,Product1,0.33,0.0,-0.33,94,0
5,2025-02-10,DC_C,Product2,76.608,0.0,-76.608,143,0
5,2025-02-10,DC_C,Product3,25.2,0.0,-25.2,28,0
5,2025-02-10,DC_C,Product4,9.559,0.0,-9.559,87,0
5,2025-02-10,DC_C,Product5,0.0,3570.28,-3570.28,193,164
5,2025-02-10,DC_E,Product1,27.28,0.0,-27.28,109,0
5,2025-02-10,DC_E,Product2,0.0,231.75,-231.75,110,25
5,2025-02-10,DC_E,Product3,0.0,2965.48,-2965.48,0,178
5,2025-02-10,DC_E,Product4,5.566,0.0,-5.566,158,0
5,2025-02-10,DC_E,Product5,109.752,0.0,-109.752,187,0
6,2025-02-17,DC_W,Product1,0.0,146.38,-146.38,146,13
6,2025-02-17,DC_W,Product2,0.0,1854.0,-1854.0,44,200
6,2025-02-17,DC_W,Product3,55.16,0.0,-55.16,110,0
6,2025-02-17,DC_W,Product4,9.438,0.0,-9.438,89,0
6,2025-02-17,DC_W,Product5,0.0,3178.42,-3178.42,84,146
6,2025-02-17,DC_C,Product1,15.73,0.0,-15.73,35,0
6,2025-02-17,DC_C,Product2,96.096,0.0,-96.096,175,0
6,2025-02-17,DC_C,Product3,14.28,0.0,-14.28,188,0
6,2025-02-17,DC_C,Product4,6.897,0.0,-6.897,55,0
6,2025-02-17,DC_C,Product5,0.0,3026.03,-3026.03,167,139
6,2025-02-17,DC_E,Product1,33.88,0.0,-33.88,49,0
6,2025-02-17,DC_E,Product2,33.936,0.0,-33.936,80,0
6,2025-02-17,DC_E,Product3,0.0,2382.38,-2382.38,103,143
6,2025-02-17,DC_E,Product4,8.47,0.0,-8.47,134,0
6,2025-02-17,DC_E,Product5,29.59,0.0,-29.59,233,0
7,2025-02-24,DC_W,Product1,19.25,0.0,-19.25,183,0
7,2025-02-24,DC_W,Product2,0.0,1872.54,-1872.54,132,202
7,2025-02-24,DC_W,Product3,68.6,0.0,-68.6,110,0
7,2025-02-24,DC_W,Product4,1.21,0.0,-1.21,152,0
7,2025-02-24,DC_W,Product5,0.0,2764.79,-2764.79,251,127
7,2025-02-24,DC_C,Product1,2.86,0.0,-2.86,117,0
7,2025-02-24,DC_C,Product2,42.0,0.0,-42.0,161,0
7,2025-02-24,DC_C,Product3,0.0,283.22,-283.22,51,17
7,2025-02-24,DC_C,Product4,5.687,0.0,-5.687,149,0
7,2025-02-24,DC_C,Product5,12.912,0.0,-12.912,222,0
7,2025-02-24,DC_E,Product1,33.88,0.0,-33.88,49,0
7,2025-02-24,DC_E,Product2,24.192,0.0,-24.192,164,0
7,2025-02-24,DC_E,Product3,0.0,4198.32,-4198.32,0,252
7,2025-02-24,DC_E,Product4,8.833,0.0,-8.833,131,0
7,2025-02-24,DC_E,Product5,0.0,2503.55,-2503.55,55,115
8,2025-03-03,DC_W,Product1,0.0,315.28,-315.28,175,28
8,2025-03-03,DC_W,Product2,0.0,2781.0,-2781.0,52,300
8,2025-03-03,DC_W,Product3,82.6,0.0,-82.6,60,0
8,2025-03-03,DC_W,Product4,10.89,0.0,-10.89,77,0
8,2025-03-03,DC_W,Product5,0.0,5115.95,-5115.95,10,235
8,2025-03-03,DC_C,Product1,6.93,0.0,-6.93,92,0
8,2025-03-03,DC_C,Product2,70.896,0.0,-70.896,75,0
8,2025-03-03,DC_C,Product3,0.0,999.6,-999.6,97,60
8,2025-03-03,DC_C,Product4,0.0,814.35,-814.35,47,61
8,2025-03-03,DC_C,Product5,43.578,0.0,-43.578,82,0
8,2025-03-03,DC_E,Product1,29.37,0.0,-29.37,90,0
8,2025-03-03,DC_E,Product2,2.016,0.0,-2.016,294,0
8,2025-03-03,DC_E,Product3,0.0,4165.0,-4165.0,109,250
8,2025-03-03,DC_E,Product4,11.979,0.0,-11.979,105,0
8,2025-03-03,DC_E,Product5,0.0,21.77,-21.77,359,1
9,2025-03-10,DC_W,Product1,4.18,0.0,-4.18,132,0
9,2025-03-10,DC_W,Product2,0.0,4403.25,-4403.25,0,475
9,2025-03-10,DC_W,Product3,86.24,0.0,-86.24,97,0
9,2025-03-10,DC_W,Product4,5.687,0.0,-5.687,162,0
9,2025-03-10,DC_W,Product5,0.0,7597.73,-7597.73,0,349
9,2025-03-10,DC_C,Product1,16.17,0.0,-16.17,33,0
9,2025-03-10,DC_C,Product2,68.208,0.0,-68.208,83,0
9,2025-03-10,DC_C,Product3,10.08,0.0,-10.08,152,0
9,2025-03-10,DC_C,Product4,1.452,0.0,-1.452,130,0
9,2025-03-10,DC_C,Product5,0.0,2002.84,-2002.84,81,92
9,2025-03-10,DC_E,Product1,21.78,0.0,-21.78,159,0
9,2025-03-10,DC_E,Product2,0.0,509.85,-509.85,170,55
9,2025-03-10,DC_E,Product3,0.0,4564.84,-4564.84,107,274
9,2025-03-10,DC_E,Product4,15.851,0.0,-15.851,73,0
9,2025-03-10,DC_E,Product5,78.548,0.0,-78.548,99,0
10,2025-03-17,DC_W,Product1,14.19,0.0,-14.19,112,0
10,2025-03-17,DC_W,Product2,0.0,6794.91,-6794.91,0,733
10,2025-03-17,DC_W,Product3,51.24,0.0,-51.24,125,0
10,2025-03-17,DC_W,Product4,0.0,413.85,-413.85,48,31
10,2025-03-17,DC_W,Product5,0.0,10797.92,-10797.92,0,496
10,2025-03-17,DC_C,Product1,7.59,0.0,-7.59,170,0
10,2025-03-17,DC_C,Product2,50.064,0.0,-50.064,58,0
10,2025-03-17,DC_C,Product3,0.0,0.0,-0.0,104,0
10,2025-03-17,DC_C,Product4,5.808,0.0,-5.808,113,0
10,2025-03-17,DC_C,Product5,0.0,979.65,-979.65,157,45
10,2025-03-17,DC_E,Product1,32.45,0.0,-32.45,62,0
10,2025-03-17,DC_E,Product2,38.64,0.0,-38.64,179,0
10,2025-03-17,DC_E,Product3,0.0,3898.44,-3898.44,164,234
10,2025-03-17,DC_E,Product4,17.666,0.0,-17.666,58,0
10,2025-03-17,DC_E,Product5,124.278,0.0,-124.278,146,0
11,2025-03-24,DC_W,Product1,16.5,0.0,-16.5,83,0
11,2025-03-24,DC_W,Product2,0.0,8704.53,-8704.53,0,939
11,2025-03-24,DC_W,Product3,20.44,0.0,-20.44,110,0
11,2025-03-24,DC_W,Product4,14.52,0.0,-14.52,108,0
11,2025-03-24,DC_W,Product5,0.0,13170.85,-13170.85,0,605
11,2025-03-24,DC_C,Product1,0.0,608.04,-608.04,102,54
11,2025-03-24,DC_C,Product2,19.488,0.0,-19.488,124,0
11,2025-03-24,DC_C,Product3,0.0,316.54,-316.54,89,19
11,2025-03-24,DC_C,Product4,4.84,0.0,-4.84,116,0
11,2025-03-24,DC_C,Product5,0.0,2590.63,-2590.63,0,119
11,2025-03-24,DC_E,Product1,32.34,0.0,-32.34,63,0
11,2025-03-24,DC_E,Product2,96.768,0.0,-96.768,176,0
11,2025-03-24,DC_E,Product3,0.0,2165.8,-2165.8,159,130
11,2025-03-24,DC_E,Product4,3.267,0.0,-3.267,177,0
11,2025-03-24,DC_E,Product5,90.922,0.0,-90.922,160,0
12,2025-03-31,DC_W,Product1,0.0,146.38,-146.38,150,13
12,2025-03-31,DC_W,Product2,0.0,11235.24,-11235.24,0,1212
12,2025-03-31,DC_W,Product3,0.0,516.46,-516.46,73,31
12,2025-03-31,DC_W,Product4,9.438,0.0,-9.438,42,0
12,2025-03-31,DC_W,Product5,0.0,17481.31,-17481.31,0,803
12,2025-03-31,DC_C,Product1,7.04,0.0,-7.04,104,0
12,2025-03-31,DC_C,Product2,0.0,64.89,-64.89,104,7
12,2025-03-31,DC_C,Product3,0.0,1466.08,-1466.08,0,88
12,2025-03-31,DC_C,Product4,0.0,213.6,-213.6,40,16
12,2025-03-31,DC_C,Product5,0.0,936.11,-936.11,243,43
12,2025-03-31,DC_E,Product1,30.36,0.0,-30.36,81,0
12,2025-03-31,DC_E,Product2,103.152,0.0,-103.152,157,0
12,2025-03-31,DC_E,Product3,0.0,2432.36,-2432.36,55,146
12,2025-03-31,DC_E,Product4,21.054,0.0,-21.054,30,0
12,2025-03-31,DC_E,Product5,126.43,0.0,-126.43,80,0
13,2025-04-07,DC_W,Product1,0.0,326.54,-326.54,90,29
13,2025-04-07,DC_W,Product2,0.0,13877.19,-13877.19,0,1497
13,2025-04-07,DC_W,Product3,0.0,3215.38,-3215.38,0,193
13,2025-04-07,DC_W,Product4,25.652,0.0,-25.652,75,0
13,2025-04-07,DC_W,Product5,0.0,19810.7,-19810.7,0,910
13,2025-04-07,DC_C,Product1,11.22,0.0,-11.22,120,0
13,2025-04-07,DC_C,Product2,0.0,64.89,-64.89,100,7
13,2025-04-07,DC_C,Product3,4.2,0.0,-4.2,165,0
13,2025-04-07,DC_C,Product4,7.26,0.0,-7.26,122,0
13,2025-04-07,DC_C,Product5,9.146,0.0,-9.146,172,0
13,2025-04-07,DC_E,Product1,27.17,0.0,-27.17,110,0
13,2025-04-07,DC_E,Product2,50.736,0.0,-50.736,156,0
13,2025-04-07,DC_E,Product3,0.0,2265.76,-2265.76,71,136
13,2025-04-07,DC_E,Product4,18.15,0.0,-18.15,24,0
13,2025-04-07,DC_E,Product5,95.764,0.0,-95.764,217,0
14,2025-04-14,DC_W,Product1,11.77,0.0,-11.77,151,0
14,2025-04-14,DC_W,Product2,0.0,14461.2,-14461.2,227,1560
14,2025-04-14,DC_W,Product3,35.84,0.0,-35.84,368,0
14,2025-04-14,DC_W,Product4,13.31,0.0,-13.31,102,0
14,2025-04-14,DC_W,Product5,0.0,26276.39,-26276.39,0,1207
14,2025-04-14,DC_C,Product1,4.95,0.0,-4.95,107,0
14,2025-04-14,DC_C,Product2,52.08,0.0,-52.08,138,0
14,2025-04-14,DC_C,Product3,52.92,0.0,-52.92,70,0
14,2025-04-14,DC_C,Product4,9.196,0.0,-9.196,100,0
14,2025-04-14,DC_C,Product5,0.0,174.16,-174.16,92,8
14,2025-04-14,DC_E,Product1,25.52,0.0,-25.52,125,0
14,2025-04-14,DC_E,Product2,53.424,0.0,-53.424,149,0
14,2025-04-14,DC_E,Product3,0.0,2415.7,-2415.7,61,145
14,2025-04-14,DC_E,Product4,5.445,0.0,-5.445,129,0
14,2025-04-14,DC_E,Product5,94.688,0.0,-94.688,82,0
15,2025-04-21,DC_W,Product1,8.03,0.0,-8.03,96,0
15,2025-04-21,DC_W,Product2,0.0,12588.66,-12588.66,282,1358
15,2025-04-21,DC_W,Product3,13.72,0.0,-13.72,205,0
15,2025-04-21,DC_W,Product4,18.997,0.0,-18.997,104,0
15,2025-04-21,DC_W,Product5,0.0,17154.76,-17154.76,592,788
15,2025-04-21,DC_C,Product1,2.42,0.0,-2.42,143,0
15,2025-04-21,DC_C,Product2,24.864,0.0,-24.864,212,0
15,2025-04-21,DC_C,Product3,23.8,0.0,-23.8,104,0
15,2025-04-21,DC_C,Product4,7.139,0.0,-7.139,73,0
15,2025-04-21,DC_C,Product5,17.754,0.0,-17.754,134,0
15,2025-04-21,DC_E,Product1,28.82,0.0,-28.82,95,0
15,2025-04-21,DC_E,Product2,86.352,0.0,-86.352,58,0
15,2025-04-21,DC_E,Product3,0.0,2415.7,-2415.7,70,145
15,2025-04-21,DC_E,Product4,18.271,0.0,-18.271,23,0
15,2025-04-21,DC_E,Product5,122.126,0.0,-122.126,166,0
16,2025-04-28,DC_W,Product1,7.37,0.0,-7.37,182,0
16,2025-04-28,DC_W,Product2,0.0,13803.03,-13803.03,0,1489
16,2025-04-28,DC_W,Product3,22.12,0.0,-22.12,181,0
16,2025-04-28,DC_W,Product4,17.303,0.0,-17.303,105,0
16,2025-04-28,DC_W,Product5,0.0,20180.79,-20180.79,49,927
16,2025-04-28,DC_C,Product1,0.0,394.1,-394.1,22,35
16,2025-04-28,DC_C,Product2,0.0,305.91,-305.91,199,33
16,2025-04-28,DC_C,Product3,23.52,0.0,-23.52,78,0
16,2025-04-28,DC_C,Product4,4.719,0.0,-4.719,126,0
16,2025-04-28,DC_C,Product5,27.438,0.0,-27.438,111,0
16,2025-04-28,DC_E,Product1,18.26,0.0,-18.26,96,0
16,2025-04-28,DC_E,Product2,61.488,0.0,-61.488,223,0
16,2025-04-28,DC_E,Product3,0.0,1849.26,-1849.26,70,111
16,2025-04-28,DC_E,Product4,11.011,0.0,-11.011,83,0
16,2025-04-28,DC_E,Product5,213.048,0.0,-213.048,79,0
17,2025-05-05,DC_W,Product1,3.63,0.0,-3.63,130,0
17,2025-05-05,DC_W,Product2,0.0,15249.15,-15249.15,0,1645
17,2025-05-05,DC_W,Product3,95.76,0.0,-95.76,123,0
17,2025-05-05,DC_W,Product4,6.171,0.0,-6.171,92,0
17,2025-05-05,DC_W,Product5,0.0,22793.19,-22793.19,0,1047
17,2025-05-05,DC_C,Product1,0.44,0.0,-0.44,139,0
17,2025-05-05,DC_C,Product2,0.0,825.03,-825.03,173,89
17,2025-05-05,DC_C,Product3,0.0,1266.16,-1266.16,84,76
17,2025-05-05,DC_C,Product4,14.762,0.0,-14.762,17,0
17,2025-05-05,DC_C,Product5,0.0,2307.62,-2307.62,51,106
17,2025-05-05,DC_E,Product1,16.83,0.0,-16.83,109,0
17,2025-05-05,DC_E,Product2,4.704,0.0,-4.704,169,0
17,2025-05-05,DC_E,Product3,0.0,1765.96,-1765.96,36,106
17,2025-05-05,DC_E,Product4,0.0,627.45,-627.45,91,47
17,2025-05-05,DC_E,Product5,170.546,0.0,-170.546,79,0
18,2025-05-12,DC_W,Product1,3.19,0.0,-3.19,186,0
18,2025-05-12,DC_W,Product2,0.0,17826.21,-17826.21,2,1923
18,2025-05-12,DC_W,Product3,62.72,0.0,-62.72,118,0
18,2025-05-12,DC_W,Product4,20.207,0.0,-20.207,74,0
18,2025-05-12,DC_W,Product5,0.0,25928.07,-25928.07,0,1191
18,2025-05-12,DC_C,Product1,0.0,867.02,-867.02,4,77
18,2025-05-12,DC_C,Product2,52.752,0.0,-52.752,218,0
18,2025-05-12,DC_C,Product3,0.0,483.14,-483.14,104,29
18,2025-05-12,DC_C,Product4,9.801,0.0,-9.801,114,0
18,2025-05-12,DC_C,Product5,0.0,1850.45,-1850.45,107,85
18,2025-05-12,DC_E,Product1,19.58,0.0,-19.58,84,0
18,2025-05-12,DC_E,Product2,60.144,0.0,-60.144,58,0
18,2025-05-12,DC_E,Product3,0.0,2532.32,-2532.32,31,152
18,2025-05-12,DC_E,Product4,16.577,0.0,-16.577,84,0
18,2025-05-12,DC_E,Product5,126.968,0.0,-126.968,160,0
19,2025-05-19,DC_W,Product1,0.55,0.0,-0.55,154,0
19,2025-05-19,DC_W,Product2,0.0,19318.68,-19318.68,73,2084
19,2025-05-19,DC_W,Product3,53.2,0.0,-53.2,125,0
19,2025-05-19,DC_W,Product4,22.99,0.0,-22.99,82,0
19,2025-05-19,DC_W,Product5,0.0,30673.93,-30673.93,0,1409
19,2025-05-19,DC_C,Product1,14.3,0.0,-14.3,138,0
19,2025-05-19,DC_C,Product2,42.672,0.0,-42.672,159,0
19,2025-05-19,DC_C,Product3,0.0,1116.22,-1116.22,78,67
19,2025-05-19,DC_C,Product4,15.367,0.0,-15.367,80,0
19,2025-05-19,DC_C,Product5,0.0,1806.91,-1806.91,79,83
19,2025-05-19,DC_E,Product1,22.11,0.0,-22.11,61,0
19,2025-05-19,DC_E,Product2,95.424,0.0,-95.424,64,0
19,2025-05-19,DC_E,Product3,0.0,2665.6,-2665.6,77,160
19,2025-05-19,DC_E,Product4,11.253,0.0,-11.253,44,0
19,2025-05-19,DC_E,Product5,188.838,0.0,-188.838,124,0
20,2025-05-26,DC_W,Product1,2.97,0.0,-2.97,164,0
20,2025-05-26,DC_W,Product2,0.0,17742.78,-17742.78,247,1914
20,2025-05-26,DC_W,Product3,112.0,0.0,-112.0,65,0
20,2025-05-26,DC_W,Product4,0.0,13.35,-13.35,190,1
20,2025-05-26,DC_W,Product5,0.0,33068.63,-33068.63,0,1519
20,2025-05-26,DC_C,Product1,20.9,0.0,-20.9,21,0
20,2025-05-26,DC_C,Product2,83.664,0.0,-83.664,37,0
20,2025-05-26,DC_C,Product3,5.04,0.0,-5.04,142,0
20,2025-05-26,DC_C,Product4,5.808,0.0,-5.808,79,0
20,2025-05-26,DC_C,Product5,51.648,0.0,-51.648,212,0
20,2025-05-26,DC_E,Product1,23.98,0.0,-23.98,44,0
20,2025-05-26,DC_E,Product2,33.6,0.0,-33.6,306,0
20,2025-05-26,DC_E,Product3,0.0,3365.32,-3365.32,85,202
20,2025-05-26,DC_E,Product4,10.164,0.0,-10.164,90,0
20,2025-05-26,DC_E,Product5,107.062,0.0,-107.062,152,0
21,2025-06-02,DC_W,Product1,11.77,0.0,-11.77,74,0
21,2025-06-02,DC_W,Product2,0.0,20051.01,-20051.01,0,2163
21,2025-06-02,DC_W,Product3,80.64,0.0,-80.64,112,0
21,2025-06-02,DC_W,Product4,0.0,774.3,-774.3,62,58
21,2025-06-02,DC_W,Product5,0.0,27539.05,-27539.05,472,1265
21,2025-06-02,DC_C,Product1,24.75,0.0,-24.75,26,0
21,2025-06-02,DC_C,Product2,22.512,0.0,-22.512,182,0
21,2025-06-02,DC_C,Product3,0.56,0.0,-0.56,73,0
21,2025-06-02,DC_C,Product4,7.26,0.0,-7.26,119,0
21,2025-06-02,DC_C,Product5,58.104,0.0,-58.104,74,0
21,2025-06-02,DC_E,Product1,18.59,0.0,-18.59,93,0
21,2025-06-02,DC_E,Product2,33.6,0.0,-33.6,58,0
21,2025-06-02,DC_E,Product3,0.0,2315.74,-2315.74,127,139
21,2025-06-02,DC_E,Product4,0.847,0.0,-0.847,77,0
21,2025-06-02,DC_E,Product5,122.664,0.0,-122.664,95,0
22,2025-06-09,DC_W,Product1,20.68,0.0,-20.68,83,0
22,2025-06-09,DC_W,Product2,0.0,20978.01,-20978.01,0,2263
22,2025-06-09,DC_W,Product3,50.12,0.0,-50.12,174,0
22,2025-06-09,DC_W,Product4,8.954,0.0,-8.954,110,0
22,2025-06-09,DC_W,Product5,0.0,26385.24,-26385.24,197,1212
22,2025-06-09,DC_C,Product1,18.7,0.0,-18.7,76,0
22,2025-06-09,DC_C,Product2,56.784,0.0,-56.784,117,0
22,2025-06-09,DC_C,Product3,28.84,0.0,-28.84,85,0
22,2025-06-09,DC_C,Product4,12.342,0.0,-12.342,38,0
22,2025-06-09,DC_C,Product5,0.0,653.1,-653.1,185,30
22,2025-06-09,DC_E,Product1,2.97,0.0,-2.97,142,0
22,2025-06-09,DC_E,Product2,11.088,0.0,-11.088,259,0
22,2025-06-09,DC_E,Product3,0.0,2632.28,-2632.28,64,158
22,2025-06-09,DC_E,Product4,2.541,0.0,-2.541,63,0
22,2025-06-09,DC_E,Product5,34.432,0.0,-34.432,164,0
23,2025-06-16,DC_W,Product1,17.82,0.0,-17.82,100,0
23,2025-06-16,DC_W,Product2,0.0,22804.2,-22804.2,0,2460
23,2025-06-16,DC_W,Product3,32.48,0.0,-32.48,63,0
23,2025-06-16,DC_W,Product4,0.0,760.95,-760.95,99,57
23,2025-06-16,DC_W,Product5,0.0,19919.55,-19919.55,486,915
23,2025-06-16,DC_C,Product1,14.41,0.0,-14.41,65,0
23,2025-06-16,DC_C,Product2,13.104,0.0,-13.104,130,0
23,2025-06-16,DC_C,Product3,23.24,0.0,-23.24,95,0
23,2025-06-16,DC_C,Product4,18.15,0.0,-18.15,71,0
23,2025-06-16,DC_C,Product5,0.0,2242.31,-2242.31,0,103
23,2025-06-16,DC_E,Product1,6.16,0.0,-6.16,113,0
23,2025-06-16,DC_E,Product2,25.872,0.0,-25.872,128,0
23,2025-06-16,DC_E,Product3,0.0,2499.0,-2499.0,83,150
23,2025-06-16,DC_E,Product4,0.0,774.3,-774.3,84,58
23,2025-06-16,DC_E,Product5,53.262,0.0,-53.262,117,0
24,2025-06-23,DC_W,Product1,11.0,0.0,-11.0,145,0
24,2025-06-23,DC_W,Product2,0.0,24352.29,-24352.29,48,2627
24,2025-06-23,DC_W,Product3,0.0,216.58,-216.58,131,13
24,2025-06-23,DC_W,Product4,13.189,0.0,-13.189,178,0
24,2025-06-23,DC_W,Product5,0.0,22553.72,-22553.72,62,1036
24,2025-06-23,DC_C,Product1,12.54,0.0,-12.54,93,0
24,2025-06-23,DC_C,Product2,28.224,0.0,-28.224,202,0
24,2025-06-23,DC_C,Product3,19.88,0.0,-19.88,71,0
24,2025-06-23,DC_C,Product4,14.52,0.0,-14.52,68,0
24,2025-06-23,DC_C,Product5,0.0,2634.17,-2634.17,74,121
24,2025-06-23,DC_E,Product1,0.0,821.98,-821.98,56,73
24,2025-06-23,DC_E,Product2,120.288,0.0,-120.288,106,0
24,2025-06-23,DC_E,Product3,0.0,4331.6,-4331.6,75,260
24,2025-06-23,DC_E,Product4,3.751,0.0,-3.751,111,0
24,2025-06-23,DC_E,Product5,91.46,0.0,-91.46,188,0
25,2025-06-30,DC_W,Product1,11.88,0.0,-11.88,92,0
25,2025-06-30,DC_W,Product2,0.0,25677.9,-25677.9,19,2770
25,2025-06-30,DC_W,Product3,39.48,0.0,-39.48,193,0
25,2025-06-30,DC_W,Product4,5.566,0.0,-5.566,63,0
25,2025-06-30,DC_W,Product5,0.0,24948.42,-24948.42,0,1146
25,2025-06-30,DC_C,Product1,15.18,0.0,-15.18,41,0
25,2025-06-30,DC_C,Product2,0.0,259.56,-259.56,84,28
25,2025-06-30,DC_C,Product3,63.28,0.0,-63.28,39,0
25,2025-06-30,DC_C,Product4,11.132,0.0,-11.132,107,0
25,2025-06-30,DC_C,Product5,27.438,0.0,-27.438,237,0
25,2025-06-30,DC_E,Product1,0.11,0.0,-0.11,128,0
25,2025-06-30,DC_E,Product2,66.192,0.0,-66.192,161,0
25,2025-06-30,DC_E,Product3,0.0,2099.16,-2099.16,185,126
25,2025-06-30,DC_E,Product4,0.0,333.75,-333.75,31,25
25,2025-06-30,DC_E,Product5,157.096,0.0,-157.096,183,0
26,2025-07-07,DC_W,Product1,7.48,0.0,-7.48,72,0
26,2025-07-07,DC_W,Product2,0.0,26947.89,-26947.89,0,2907
