week,week_start,product,promo_intensity
131,2025-07-07,P5,0
132,2025-07-14,P1,0
132,2025-07-14,P2,0
132,2025-07-14,P3,0
132,2025-07-14,P4,0
132,2025-07-14,P5,0
133,2025-07-21,P1,0
133,2025-07-21,P2,0
133,2025-07-21,P3,0
133,2025-07-21,P4,0
133,2025-07-21,P5,0
134,2025-07-28,P1,0
134,2025-07-28,P2,0
134,2025-07-28,P3,0
134,2025-07-28,P4,0
134,2025-07-28,P5,0
135,2025-08-04,P1,0
135,2025-08-04,P2,0
135,2025-08-04,P3,0
135,2025-08-04,P4,0
135,2025-08-04,P5,0
136,2025-08-11,P1,0
136,2025-08-11,P2,0
136,2025-08-11,P3,0
136,2025-08-11,P4,1
136,2025-08-11,P5,1
137,2025-08-18,P1,0
137,2025-08-18,P2,0
137,2025-08-18,P3,0
137,2025-08-18,P4,0
137,2025-08-18,P5,0
138,2025-08-25,P1,0
138,2025-08-25,P2,0
138,2025-08-25,P3,0
138,2025-08-25,P4,0
138,2025-08-25,P5,0
139,2025-09-01,P1,0
139,2025-09-01,P2,0
139,2025-09-01,P3,0
139,2025-09-01,P4,0
139,2025-09-01,P5,0
140,2025-09-08,P1,0
140,2025-09-08,P2,0
140,2025-09-08,P3,0
140,2025-09-08,P4,1
140,2025-09-08,P5,0
141,2025-09-15,P1,0
141,2025-09-15,P2,0
141,2025-09-15,P3,0
141,2025-09-15,P4,0
141,2025-09-15,P5,0
142,2025-09-22,P1,0
142,2025-09-22,P2,0
142,2025-09-22,P3,0
142,2025-09-22,P4,0
142,2025-09-22,P5,0
143,2025-09-29,P1,1
143,2025-09-29,P2,1
143,2025-09-29,P3,0
143,2025-09-29,P4,0
143,2025-09-29,P5,0
144,2025-10-06,P1,1
144,2025-10-06,P2,0
144,2025-10-06,P3,0
144,2025-10-06,P4,0
144,2025-10-06,P5,0
145,2025-10-13,P1,0
145,2025-10-13,P2,0
145,2025-10-13,P3,0
145,2025-10-13,P4,1
145,2025-10-13,P5,0
146,2025-10-20,P1,0
146,2025-10-20,P2,0
146,2025-10-20,P3,0
146,2025-10-20,P4,0
146,2025-10-20,P5,0
147,2025-10-27,P1,0
147,2025-10-27,P2,0
147,2025-10-27,P3,1
147,2025-10-27,P4,0
147,2025-10-27,P5,0
148,2025-11-03,P1,0
148,2025-11-03,P2,0
148,2025-11-03,P3,0
148,2025-11-03,P4,0
148,2025-11-03,P5,0
149,2025-11-10,P1,0
149,2025-11-10,P2,0
149,2025-11-10,P3,0
149,2025-11-10,P4,0
149,2025-11-10,P5,0
150,2025-11-17,P1,0
150,2025-11-17,P2,0
150,2025-11-17,P3,0
150,2025-11-17,P4,0
150,2025-11-17,P5,0
151,2025-11-24,P1,0
151,2025-11-24,P2,0
151,2025-11-24,P3,0
151,2025-11-24,P4,0
151,2025-11-24,P5,0
152,2025-12-01,P1,0
152,2025-12-01,P2,0
152,2025-12-01,P3,0
152,2025-12-01,P4,0
152,2025-12-01,P5,0
153,2025-12-08,P1,0
153,2025-12-08,P2,0
153,2025-12-08,P3,0
153,2025-12-08,P4,0
153,2025-12-08,P5,0
154,2025-12-15,P1,0
154,2025-12-15,P2,0
154,2025-12-15,P3,0
154,2025-12-15,P4,0
154,2025-12-15,P5,0
155,2025-12-22,P1,1
155,2025-12-22,P2,0
155,2025-12-22,P3,0
155,2025-12-22,P4,0
155,2025-12-22,P5,0
