week,week_start,location,product,on_hand,in_transit,backlog
8,2023-02-27,DC_E,P1,271,183,22
8,2023-02-27,DC_E,P2,257,164,39
8,2023-02-27,DC_E,P3,455,178,36
8,2023-02-27,DC_E,P4,552,115,37
8,2023-02-27,DC_E,P5,599,158,5
9,2023-03-06,DC_W,P1,407,138,8
9,2023-03-06,DC_W,P2,585,76,8
9,2023-03-06,DC_W,P3,566,119,3
9,2023-03-06,DC_W,P4,439,140,3
9,2023-03-06,DC_W,P5,589,131,27
9,2023-03-06,DC_C,P1,408,141,13
9,2023-03-06,DC_C,P2,314,126,40
9,2023-03-06,DC_C,P3,219,140,40
9,2023-03-06,DC_C,P4,262,52,15
9,2023-03-06,DC_C,P5,435,70,21
9,2023-03-06,DC_E,P1,420,139,13
9,2023-03-06,DC_E,P2,360,166,47
9,2023-03-06,DC_E,P3,544,134,20
9,2023-03-06,DC_E,P4,333,68,5
9,2023-03-06,DC_E,P5,475,88,12
10,2023-03-13,DC_W,P1,599,78,7
10,2023-03-13,DC_W,P2,239,136,31
10,2023-03-13,DC_W,P3,346,130,39
10,2023-03-13,DC_W,P4,527,193,41
10,2023-03-13,DC_W,P5,425,76,4
10,2023-03-13,DC_C,P1,221,149,40
10,2023-03-13,DC_C,P2,403,58,26
10,2023-03-13,DC_C,P3,574,139,40
10,2023-03-13,DC_C,P4,520,189,38
10,2023-03-13,DC_C,P5,499,85,2
10,2023-03-13,DC_E,P1,407,68,48
10,2023-03-13,DC_E,P2,315,177,19
10,2023-03-13,DC_E,P3,329,190,18
10,2023-03-13,DC_E,P4,356,65,33
10,2023-03-13,DC_E,P5,315,137,29
11,2023-03-20,DC_W,P1,487,161,25
11,2023-03-20,DC_W,P2,332,175,15
11,2023-03-20,DC_W,P3,403,110,42
11,2023-03-20,DC_W,P4,372,107,34
11,2023-03-20,DC_W,P5,440,66,25
11,2023-03-20,DC_C,P1,494,198,31
11,2023-03-20,DC_C,P2,348,83,43
11,2023-03-20,DC_C,P3,525,85,10
11,2023-03-20,DC_C,P4,486,97,15
11,2023-03-20,DC_C,P5,260,89,21
11,2023-03-20,DC_E,P1,493,100,16
11,2023-03-20,DC_E,P2,313,121,9
11,2023-03-20,DC_E,P3,394,155,1
11,2023-03-20,DC_E,P4,203,61,26
11,2023-03-20,DC_E,P5,541,50,46
12,2023-03-27,DC_W,P1,242,176,24
12,2023-03-27,DC_W,P2,463,126,23
12,2023-03-27,DC_W,P3,533,163,24
12,2023-03-27,DC_W,P4,244,67,40
12,2023-03-27,DC_W,P5,411,122,34
12,2023-03-27,DC_C,P1,543,144,38
12,2023-03-27,DC_C,P2,506,103,13
12,2023-03-27,DC_C,P3,520,106,45
12,2023-03-27,DC_C,P4,227,58,46
12,2023-03-27,DC_C,P5,459,106,37
12,2023-03-27,DC_E,P1,468,129,4
12,2023-03-27,DC_E,P2,524,179,8
12,2023-03-27,DC_E,P3,540,181,27
12,2023-03-27,DC_E,P4,462,107,14
12,2023-03-27,DC_E,P5,488,179,32
13,2023-04-03,DC_W,P1,404,73,2
13,2023-04-03,DC_W,P2,378,57,28
13,2023-04-03,DC_W,P3,353,163,15
13,2023-04-03,DC_W,P4,437,130,0
13,2023-04-03,DC_W,P5,228,93,44
13,2023-04-03,DC_C,P1,258,156,48
13,2023-04-03,DC_C,P2,516,86,45
13,2023-04-03,DC_C,P3,237,120,44
13,2023-04-03,DC_C,P4,456,112,14
13,2023-04-03,DC_C,P5,350,126,15
13,2023-04-03,DC_E,P1,587,189,43
13,2023-04-03,DC_E,P2,368,153,45
13,2023-04-03,DC_E,P3,540,112,5
13,2023-04-03,DC_E,P4,230,136,32
13,2023-04-03,DC_E,P5,539,93,8
14,2023-04-10,DC_W,P1,351,103,6
14,2023-04-10,DC_W,P2,468,126,36
14,2023-04-10,DC_W,P3,341,98,23
14,2023-04-10,DC_W,P4,550,56,40
14,2023-04-10,DC_W,P5,347,178,40
14,2023-04-10,DC_C,P1,339,154,7
14,2023-04-10,DC_C,P2,558,110,22
14,2023-04-10,DC_C,P3,482,173,11
14,2023-04-10,DC_C,P4,464,108,18
14,2023-04-10,DC_C,P5,476,108,17
14,2023-04-10,DC_E,P1,534,65,33
14,2023-04-10,DC_E,P2,299,52,8
14,2023-04-10,DC_E,P3,442,156,1
14,2023-04-10,DC_E,P4,214,185,3
14,2023-04-10,DC_E,P5,557,84,37
15,2023-04-17,DC_W,P1,323,178,35
15,2023-04-17,DC_W,P2,360,61,36
15,2023-04-17,DC_W,P3,446,50,0
15,2023-04-17,DC_W,P4,523,88,31
15,2023-04-17,DC_W,P5,381,179,45
15,2023-04-17,DC_C,P1,598,73,43
15,2023-04-17,DC_C,P2,306,138,25
15,2023-04-17,DC_C,P3,207,189,3
15,2023-04-17,DC_C,P4,475,167,39
15,2023-04-17,DC_C,P5,254,117,41
15,2023-04-17,DC_E,P1,321,120,13
15,2023-04-17,DC_E,P2,385,183,22
15,2023-04-17,DC_E,P3,422,110,23
15,2023-04-17,DC_E,P4,206,92,21
15,2023-04-17,DC_E,P5,453,117,16
16,2023-04-24,DC_W,P1,355,86,46
16,2023-04-24,DC_W,P2,408,52,0
16,2023-04-24,DC_W,P3,589,83,40
16,2023-04-24,DC_W,P4,223,188,43
16,2023-04-24,DC_W,P5,428,51,12
16,2023-04-24,DC_C,P1,362,119,14
16,2023-04-24,DC_C,P2,213,138,26
16,2023-04-24,DC_C,P3,313,55,49
16,2023-04-24,DC_C,P4,392,163,22
16,2023-04-24,DC_C,P5,217,96,16
16,2023-04-24,DC_E,P1,535,148,13
16,2023-04-24,DC_E,P2,587,98,49
16,2023-04-24,DC_E,P3,598,78,15
16,2023-04-24,DC_E,P4,394,149,26
16,2023-04-24,DC_E,P5,587,158,10
17,2023-05-01,DC_W,P1,242,153,7
17,2023-05-01,DC_W,P2,515,96,16
17,2023-05-01,DC_W,P3,204,155,5
17,2023-05-01,DC_W,P4,509,123,39
17,2023-05-01,DC_W,P5,433,62,38
17,2023-05-01,DC_C,P1,227,121,8
17,2023-05-01,DC_C,P2,500,186,27
17,2023-05-01,DC_C,P3,410,164,0
17,2023-05-01,DC_C,P4,567,79,49
17,2023-05-01,DC_C,P5,494,166,32
17,2023-05-01,DC_E,P1,388,135,2
17,2023-05-01,DC_E,P2,449,143,44
17,2023-05-01,DC_E,P3,402,61,15
17,2023-05-01,DC_E,P4,462,85,14
17,2023-05-01,DC_E,P5,528,137,25
18,2023-05-08,DC_W,P1,327,159,14
18,2023-05-08,DC_W,P2,494,60,43
18,2023-05-08,DC_W,P3,399,115,30
18,2023-05-08,DC_W,P4,449,69,37
18,2023-05-08,DC_W,P5,310,185,40
18,2023-05-08,DC_C,P1,338,171,17
18,2023-05-08,DC_C,P2,240,194,32
18,2023-05-08,DC_C,P3,382,109,16
18,2023-05-08,DC_C,P4,592,70,15
18,2023-05-08,DC_C,P5,394,121,23
18,2023-05-08,DC_E,P1,270,71,12
18,2023-05-08,DC_E,P2,565,66,37
18,2023-05-08,DC_E,P3,503,171,44
18,2023-05-08,DC_E,P4,305,83,23
18,2023-05-08,DC_E,P5,306,160,31
19,2023-05-15,DC_W,P1,549,62,45
19,2023-05-15,DC_W,P2,317,123,21
19,2023-05-15,DC_W,P3,504,113,47
19,2023-05-15,DC_W,P4,561,180,3
19,2023-05-15,DC_W,P5,541,167,5
19,2023-05-15,DC_C,P1,242,65,0
19,2023-05-15,DC_C,P2,419,196,21
19,2023-05-15,DC_C,P3,416,195,12
19,2023-05-15,DC_C,P4,543,131,28
19,2023-05-15,DC_C,P5,337,134,3
19,2023-05-15,DC_E,P1,505,92,44
19,2023-05-15,DC_E,P2,347,71,34
19,2023-05-15,DC_E,P3,265,163,48
19,2023-05-15,DC_E,P4,511,53,29
19,2023-05-15,DC_E,P5,478,173,2
20,2023-05-22,DC_W,P1,392,130,8
20,2023-05-22,DC_W,P2,328,116,41
20,2023-05-22,DC_W,P3,571,144,19
20,2023-05-22,DC_W,P4,301,197,49
20,2023-05-22,DC_W,P5,569,167,16
20,2023-05-22,DC_C,P1,526,111,16
20,2023-05-22,DC_C,P2,497,61,2
20,2023-05-22,DC_C,P3,379,116,44
20,2023-05-22,DC_C,P4,250,68,7
20,2023-05-22,DC_C,P5,211,60,32
20,2023-05-22,DC_E,P1,372,164,49
20,2023-05-22,DC_E,P2,463,57,5
20,2023-05-22,DC_E,P3,552,129,41
20,2023-05-22,DC_E,P4,542,189,47
20,2023-05-22,DC_E,P5,421,101,48
21,2023-05-29,DC_W,P1,418,59,32
21,2023-05-29,DC_W,P2,435,184,32
21,2023-05-29,DC_W,P3,339,194,40
21,2023-05-29,DC_W,P4,452,93,18
21,2023-05-29,DC_W,P5,467,60,12
21,2023-05-29,DC_C,P1,485,122,20
21,2023-05-29,DC_C,P2,260,116,38
21,2023-05-29,DC_C,P3,305,50,33
21,2023-05-29,DC_C,P4,589,141,5
21,2023-05-29,DC_C,P5,328,180,11
21,2023-05-29,DC_E,P1,443,110,10
21,2023-05-29,DC_E,P2,525,161,33
21,2023-05-29,DC_E,P3,294,64,28
21,2023-05-29,DC_E,P4,421,78,2
21,2023-05-29,DC_E,P5,232,198,39
22,2023-06-05,DC_W,P1,568,79,48
22,2023-06-05,DC_W,P2,257,126,41
22,2023-06-05,DC_W,P3,339,113,6
22,2023-06-05,DC_W,P4,249,142,33
22,2023-06-05,DC_W,P5,510,133,32
22,2023-06-05,DC_C,P1,205,74,49
22,2023-06-05,DC_C,P2,230,151,8
22,2023-06-05,DC_C,P3,486,155,11
22,2023-06-05,DC_C,P4,307,148,19
22,2023-06-05,DC_C,P5,277,159,7
22,2023-06-05,DC_E,P1,542,127,5
22,2023-06-05,DC_E,P2,477,127,14
22,2023-06-05,DC_E,P3,369,94,13
22,2023-06-05,DC_E,P4,265,104,12
22,2023-06-05,DC_E,P5,473,152,25
23,2023-06-12,DC_W,P1,511,176,28
23,2023-06-12,DC_W,P2,447,92,44
23,2023-06-12,DC_W,P3,209,102,36
23,2023-06-12,DC_W,P4,232,77,29
23,2023-06-12,DC_W,P5,423,160,40
23,2023-06-12,DC_C,P1,251,52,34
23,2023-06-12,DC_C,P2,320,143,7
23,2023-06-12,DC_C,P3,387,125,29
23,2023-06-12,DC_C,P4,405,124,16
23,2023-06-12,DC_C,P5,228,63,21
23,2023-06-12,DC_E,P1,342,127,15
23,2023-06-12,DC_E,P2,475,179,14
23,2023-06-12,DC_E,P3,277,67,30
23,2023-06-12,DC_E,P4,377,78,32
23,2023-06-12,DC_E,P5,259,133,26
24,2023-06-19,DC_W,P1,493,58,44
24,2023-06-19,DC_W,P2,481,82,9
24,2023-06-19,DC_W,P3,372,172,42
24,2023-06-19,DC_W,P4,408,179,0
24,2023-06-19,DC_W,P5,214,186,38
24,2023-06-19,DC_C,P1,380,163,47
24,2023-06-19,DC_C,P2,508,176,38
24,2023-06-19,DC_C,P3,267,175,9
24,2023-06-19,DC_C,P4,557,118,33
24,2023-06-19,DC_C,P5,398,64,14
24,2023-06-19,DC_E,P1,593,194,16
24,2023-06-19,DC_E,P2,598,176,30
24,2023-06-19,DC_E,P3,216,185,27
24,2023-06-19,DC_E,P4,547,175,41
24,2023-06-19,DC_E,P5,479,93,16
25,2023-06-26,DC_W,P1,323,53,29
25,2023-06-26,DC_W,P2,479,178,7
25,2023-06-26,DC_W,P3,417,51,4
25,2023-06-26,DC_W,P4,221,158,4
25,2023-06-26,DC_W,P5,486,87,43
25,2023-06-26,DC_C,P1,525,193,44
25,2023-06-26,DC_C,P2,573,178,34
25,2023-06-26,DC_C,P3,268,90,10
25,2023-06-26,DC_C,P4,441,125,43
25,2023-06-26,DC_C,P5,581,110,25
25,2023-06-26,DC_E,P1,588,91,39
25,2023-06-26,DC_E,P2,290,152,12
25,2023-06-26,DC_E,P3,553,134,9
25,2023-06-26,DC_E,P4,289,124,48
25,2023-06-26,DC_E,P5,507,123,16
26,2023-07-03,DC_W,P1,419,162,39
26,2023-07-03,DC_W,P2,329,158,32
26,2023-07-03,DC_W,P3,583,189,39
26,2023-07-03,DC_W,P4,489,91,42
26,2023-07-03,DC_W,P5,371,90,19
26,2023-07-03,DC_C,P1,534,72,22
26,2023-07-03,DC_C,P2,396,55,9
26,2023-07-03,DC_C,P3,530,174,14
26,2023-07-03,DC_C,P4,549,165,20
26,2023-07-03,DC_C,P5,499,194,22
26,2023-07-03,DC_E,P1,295,191,30
26,2023-07-03,DC_E,P2,242,135,25
26,2023-07-03,DC_E,P3,542,129,12
26,2023-07-03,DC_E,P4,470,131,11
26,2023-07-03,DC_E,P5,429,173,1
27,2023-07-10,DC_W,P1,452,102,14
27,2023-07-10,DC_W,P2,357,101,41
27,2023-07-10,DC_W,P3,309,159,4
27,2023-07-10,DC_W,P4,580,143,35
27,2023-07-10,DC_W,P5,319,111,11
27,2023-07-10,DC_C,P1,573,123,31
27,2023-07-10,DC_C,P2,493,105,36
27,2023-07-10,DC_C,P3,470,155,24
27,2023-07-10,DC_C,P4,353,83,41
27,2023-07-10,DC_C,P5,443,116,47
27,2023-07-10,DC_E,P1,219,177,49
27,2023-07-10,DC_E,P2,554,171,18
27,2023-07-10,DC_E,P3,292,160,15
27,2023-07-10,DC_E,P4,270,167,15
27,2023-07-10,DC_E,P5,565,176,42
28,2023-07-17,DC_W,P1,508,182,40
28,2023-07-17,DC_W,P2,441,94,44
28,2023-07-17,DC_W,P3,536,120,1
28,2023-07-17,DC_W,P4,455,57,46
28,2023-07-17,DC_W,P5,584,78,33
28,2023-07-17,DC_C,P1,236,159,17
28,2023-07-17,DC_C,P2,472,105,7
28,2023-07-17,DC_C,P3,362,66,28
28,2023-07-17,DC_C,P4,216,129,44
28,2023-07-17,DC_C,P5,535,182,46
28,2023-07-17,DC_E,P1,241,69,27
28,2023-07-17,DC_E,P2,557,196,2
28,2023-07-17,DC_E,P3,342,81,37
28,2023-07-17,DC_E,P4,456,67,24
28,2023-07-17,DC_E,P5,474,166,1
29,2023-07-24,DC_W,P1,556,135,40
29,2023-07-24,DC_W,P2,523,78,5
29,2023-07-24,DC_W,P3,488,73,42
29,2023-07-24,DC_W,P4,490,176,14
29,2023-07-24,DC_W,P5,326,150,1
29,2023-07-24,DC_C,P1,490,175,20
29,2023-07-24,DC_C,P2,505,76,16
29,2023-07-24,DC_C,P3,589,197,25
29,2023-07-24,DC_C,P4,573,128,14
29,2023-07-24,DC_C,P5,306,189,8
29,2023-07-24,DC_E,P1,431,133,36
29,2023-07-24,DC_E,P2,399,90,8
29,2023-07-24,DC_E,P3,448,157,28
29,2023-07-24,DC_E,P4,495,71,44
29,2023-07-24,DC_E,P5,432,69,23
30,2023-07-31,DC_W,P1,537,184,13
30,2023-07-31,DC_W,P2,484,64,1
30,2023-07-31,DC_W,P3,424,154,39
30,2023-07-31,DC_W,P4,336,50,23
30,2023-07-31,DC_W,P5,206,63,16
30,2023-07-31,DC_C,P1,374,91,29
30,2023-07-31,DC_C,P2,222,71,34
30,2023-07-31,DC_C,P3,256,145,2
30,2023-07-31,DC_C,P4,362,76,5
30,2023-07-31,DC_C,P5,426,189,2
30,2023-07-31,DC_E,P1,368,156,23
30,2023-07-31,DC_E,P2,522,76,47
30,2023-07-31,DC_E,P3,354,101,43
30,2023-07-31,DC_E,P4,425,127,36
30,2023-07-31,DC_E,P5,431,74,33
31,2023-08-07,DC_W,P1,253,170,49
31,2023-08-07,DC_W,P2,350,116,2
31,2023-08-07,DC_W,P3,205,188,6
31,2023-08-07,DC_W,P4,378,172,44
31,2023-08-07,DC_W,P5,407,134,33
31,2023-08-07,DC_C,P1,584,140,27
31,2023-08-07,DC_C,P2,205,62,28
31,2023-08-07,DC_C,P3,574,180,49
31,2023-08-07,DC_C,P4,411,168,42
31,2023-08-07,DC_C,P5,459,100,23
31,2023-08-07,DC_E,P1,543,94,46
31,2023-08-07,DC_E,P2,291,162,31
31,2023-08-07,DC_E,P3,499,115,46
31,2023-08-07,DC_E,P4,452,93,31
31,2023-08-07,DC_E,P5,314,94,19
32,2023-08-14,DC_W,P1,540,125,33
32,2023-08-14,DC_W,P2,356,89,47
32,2023-08-14,DC_W,P3,441,190,10
32,2023-08-14,DC_W,P4,258,178,34
32,2023-08-14,DC_W,P5,274,90,40
32,2023-08-14,DC_C,P1,381,150,15
32,2023-08-14,DC_C,P2,352,198,12
32,2023-08-14,DC_C,P3,402,176,11
32,2023-08-14,DC_C,P4,366,142,24
32,2023-08-14,DC_C,P5,383,104,29
32,2023-08-14,DC_E,P1,449,147,3
32,2023-08-14,DC_E,P2,452,192,27
32,2023-08-14,DC_E,P3,486,133,42
32,2023-08-14,DC_E,P4,571,77,21
32,2023-08-14,DC_E,P5,356,110,6
33,2023-08-21,DC_W,P1,525,55,26
33,2023-08-21,DC_W,P2,464,81,45
33,2023-08-21,DC_W,P3,535,120,20
33,2023-08-21,DC_W,P4,294,159,6
33,2023-08-21,DC_W,P5,472,176,11
33,2023-08-21,DC_C,P1,546,54,45
33,2023-08-21,DC_C,P2,247,146,12
33,2023-08-21,DC_C,P3,534,126,6
33,2023-08-21,DC_C,P4,428,111,33
33,2023-08-21,DC_C,P5,552,111,14
33,2023-08-21,DC_E,P1,205,136,20
33,2023-08-21,DC_E,P2,349,77,21
33,2023-08-21,DC_E,P3,593,94,29
33,2023-08-21,DC_E,P4,510,162,16
33,2023-08-21,DC_E,P5,444,180,0
34,2023-08-28,DC_W,P1,374,83,19
34,2023-08-28,DC_W,P2,366,162,4
34,2023-08-28,DC_W,P3,405,134,24
34,2023-08-28,DC_W,P4,492,107,47
34,2023-08-28,DC_W,P5,392,135,41
34,2023-08-28,DC_C,P1,310,61,35
34,2023-08-28,DC_C,P2,393,184,49
34,2023-08-28,DC_C,P3,359,112,20
34,2023-08-28,DC_C,P4,329,167,37
34,2023-08-28,DC_C,P5,391,56,15
34,2023-08-28,DC_E,P1,316,171,4
34,2023-08-28,DC_E,P2,522,150,36
34,2023-08-28,DC_E,P3,372,151,30
34,2023-08-28,DC_E,P4,507,117,23
34,2023-08-28,DC_E,P5,457,66,21
35,2023-09-04,DC_W,P1,588,55,15
35,2023-09-04,DC_W,P2,325,145,5
35,2023-09-04,DC_W,P3,451,64,4
35,2023-09-04,DC_W,P4,491,98,48
35,2023-09-04,DC_W,P5,214,116,5
35,2023-09-04,DC_C,P1,340,199,44
35,2023-09-04,DC_C,P2,219,134,32
35,2023-09-04,DC_C,P3,283,71,45
35,2023-09-04,DC_C,P4,587,198,39
35,2023-09-04,DC_C,P5,465,101,8
35,2023-09-04,DC_E,P1,231,153,39
35,2023-09-04,DC_E,P2,530,187,43
35,2023-09-04,DC_E,P3,599,86,38
35,2023-09-04,DC_E,P4,434,89,49
35,2023-09-04,DC_E,P5,559,69,1
36,2023-09-11,DC_W,P1,475,140,46
36,2023-09-11,DC_W,P2,293,62,12
36,2023-09-11,DC_W,P3,207,55,45
36,2023-09-11,DC_W,P4,340,111,0
36,2023-09-11,DC_W,P5,308,170,30
36,2023-09-11,DC_C,P1,501,117,15
36,2023-09-11,DC_C,P2,393,98,41
36,2023-09-11,DC_C,P3,319,148,6
36,2023-09-11,DC_C,P4,474,186,30
36,2023-09-11,DC_C,P5,423,194,31
36,2023-09-11,DC_E,P1,303,93,35
36,2023-09-11,DC_E,P2,494,95,17
36,2023-09-11,DC_E,P3,596,65,20
36,2023-09-11,DC_E,P4,224,173,4
36,2023-09-11,DC_E,P5,469,58,33
37,2023-09-18,DC_W,P1,537,109,26
37,2023-09-18,DC_W,P2,360,95,40
37,2023-09-18,DC_W,P3,308,158,10
37,2023-09-18,DC_W,P4,299,100,29
37,2023-09-18,DC_W,P5,381,161,10
37,2023-09-18,DC_C,P1,204,166,41
37,2023-09-18,DC_C,P2,223,141,18
37,2023-09-18,DC_C,P3,517,181,42
37,2023-09-18,DC_C,P4,510,90,40
37,2023-09-18,DC_C,P5,413,57,22
37,2023-09-18,DC_E,P1,576,183,5
37,2023-09-18,DC_E,P2,497,170,13
37,2023-09-18,DC_E,P3,388,156,21
37,2023-09-18,DC_E,P4,245,155,45
37,2023-09-18,DC_E,P5,460,166,17
38,2023-09-25,DC_W,P1,273,146,16
38,2023-09-25,DC_W,P2,544,68,21
38,2023-09-25,DC_W,P3,358,190,7
38,2023-09-25,DC_W,P4,203,85,41
38,2023-09-25,DC_W,P5,283,86,6
38,2023-09-25,DC_C,P1,486,60,16
38,2023-09-25,DC_C,P2,312,133,36
38,2023-09-25,DC_C,P3,413,189,47
38,2023-09-25,DC_C,P4,344,166,36
38,2023-09-25,DC_C,P5,557,117,26
38,2023-09-25,DC_E,P1,366,177,11
38,2023-09-25,DC_E,P2,295,105,11
38,2023-09-25,DC_E,P3,424,70,16
38,2023-09-25,DC_E,P4,565,111,37
38,2023-09-25,DC_E,P5,245,87,40
39,2023-10-02,DC_W,P1,505,107,47
39,2023-10-02,DC_W,P2,564,194,21
39,2023-10-02,DC_W,P3,278,143,34
39,2023-10-02,DC_W,P4,250,167,0
39,2023-10-02,DC_W,P5,393,99,37
39,2023-10-02,DC_C,P1,325,174,29
39,2023-10-02,DC_C,P2,517,198,33
39,2023-10-02,DC_C,P3,593,54,16
39,2023-10-02,DC_C,P4,243,89,41
39,2023-10-02,DC_C,P5,212,128,28
39,2023-10-02,DC_E,P1,424,121,39
39,2023-10-02,DC_E,P2,253,96,30
39,2023-10-02,DC_E,P3,476,110,43
39,2023-10-02,DC_E,P4,366,110,1
39,2023-10-02,DC_E,P5,420,156,5
40,2023-10-09,DC_W,P1,322,167,18
40,2023-10-09,DC_W,P2,296,150,9
40,2023-10-09,DC_W,P3,558,65,35
40,2023-10-09,DC_W,P4,399,180,6
40,2023-10-09,DC_W,P5,471,135,24
40,2023-10-09,DC_C,P1,396,158,46
